asset_name	AI_Accuracy_Value	AccDelay_Value	AccImpulse_Value	AccRegen_Value	Accuracy	Accuracy_Scale	Accuracy_Value	ArmorDamageReduction	ArmorPassthroughPercent	ArmorSegmentRegenDuration	ArmorSegments	Aug_Stat_01	Aug_Stat_01_Desc	Aug_Stat_02	Aug_Stat_02_Desc	Aug_Stat_03	Aug_Stat_03_Desc	Augment_Both	Augment_Both_2	Augment_Primary	Augment_Primary_2	Augment_Secondary	Augment_Secondary_2	Borg	BurstCount_Value	BurstDelay	BurstDelay_Value	Capacity	Capacity_Scale	Charges_Value	Comment	Comment1	Comment2	Comment_1	Comment_2	Cooldown	Cooldown_Scale	CritDamage_Add	Critical_Hit_Chance	CryoImpact_Scale	Custom	Custom2	CustomDesc1	CustomDesc2	CustomValue1	CustomValue2	Custom_1	Custom_2	Custom_3	DamageRadius_Value	Damage_Payload_Scale	Damage_Scale	Default	Delay	Delay_Scale	Duration	Duration_Scale	FX_Parameter_Value	FireRate_Scale	FireRate_Value	Force	Fuse_Time	Healing_Scale	Health_Base	Health_OverTime	Health_Scale	Homing_Turn_Speed_Scale	Level_01	Level_02	Level_03	Level_04	Level_05	Level_06	Level_07	Level_08	Level_09	Level_10	Level_11	Level_12	Level_13	Level_14	Level_15	Level_16	MagazineSize_Value	Maliwan	MaxDesiredRange	MinDesiredRange	PayloadDamage_Scale	PayloadRadius_Scale	Potency	ProjectileSpeed	Projectile_Speed_Scale	Radius	Radius_Scale	Radius_Value	RechargeRate	Recoil_Scale	Regen_Scale	Spread_Value	StatusChance_Scale	StatusCharge_Scale	StatusDamage_Scale	Torgue	Value1	Value2	Value_1	Value_2	Value_3	Vladof
Struct_BaseGrenade_Init																														0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000047739724643						0			0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000081205													0									0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001107	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000013566642758087631					0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008151																					0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000081027	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005299808824			-2.000000000007269	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011383							1	1	1							
Struct_Gadget_AT_Augments																																																				1														1																													1														
Struct_Gadget_AT_Defaults																																				1																				1								1																																													
Struct_RepKit_BaseData																																					1																				1						1																																														
Struct_Gadget_HW_Rarity																																0	1																																																													0										1	1				
Struct_Gadget_AT_Weapon_Init	5																								3		4.5																									1					1			1						5000																				2.5	20								150				1										
Struct_GrenadeMod_Augment																																											1	1	1	1					0																																											0															
Struct_RepKit_Augment												0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006324	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000994685527	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001492032323033557	0	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002172923690075	0																				0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004889078302384																				0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027686838	0					0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005975540147358																																														
Struct_Gadget_AT_Manufacturer_Init						1																															1															1					1		1							1																																											
Struct_ShieldTest_2																		0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001618954	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008114974499733636	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001390671161567	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001973359596	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011125369292859956	0											0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000190979621187	0																																																																										
Struct_Shield_Unique_Armor								0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008114974499733636		0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008114974499733636	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008114974499733636																		0																		0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007365167155048443	1	1																																																									0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003785766995733679	0	1	
