row_name	basedamage
Damage_Assault	0.075000
Damage_Pistol	0.075000
Damage_Shotgun	0.075000
Damage_SMG	0.075000
Damage_Sniper	0.075000
MoveSpeed	0.032500
WeaponDamage	0.050000
WeaponDamage_Hybrid	0.032500
CritDmg	0.057500
FireRate	0.032500
FireRate_Hybrid	0.025000
ActionSkillDmg	0.100000
ActionSkillDmg_Hybrid	0.050000
SkillDmg	0.075000
SkillDuration	0.075000
MeleeDmg	0.100000
MeleeDmg_Hybrid	0.057500
GrenadeDmg	0.075000
GrenadeDmg_Hybrid	0.050000
SplashDmg	0.057500
MaxHealth	1.000000
HealthRegen	0.150000
ShieldCapacity	1.000000
RechargeRate	0.082500
RechargeDelay	-0.040000
ElemResist	-0.041670
DmgReduction	-0.041670
MagSize	0.052500
ReloadSpeed	-0.057500
ReloadSpeed_Hybrid	-0.030000
WeaponChargeSpeed	-0.125000
ActionCDRate	0.041000
ElemStatusDamage	0.050000
ElemStatusDamage_Hybrid	0.041000
ElemStatusChance	0.050000
ElemStatusChance_Hybrid	0.041000
AllDamage	0.032500
ElementalDamage	0.041000
KineticDamage	0.066000
CriticalHitChance_Skill	0.016500
CriticalHitChance_Ordnance	0.016500
CriticalHitChance_Gun	0.016500
CriticalHitChance_Melee	0.016500
Special_OrdnanceCooldown	0.041000
Special_Lifesteal	0.016500
Special_IncendiaryDamage	0.075000
Special_CryoDamage	0.075000
Siren_Attunement_Duration	0.075000
Siren_CommandSkill_Cooldown	0.075000
Siren_PhaseClone_HealthLoss	-0.082500
Siren_MinionDamage	0.075000
Paladin_Forgedrone_Duration	0.075000
Paladin_DetonationDamage	0.100000
Paladin_ForgeskillDamage	0.100000
Gravitar_HazardDamage	0.100000
Gravitar_StasisDamage	0.100000
Preferred_ClassMod_Weight	9.000000
