row_name	accimpulse_scale	ammocost_add	critdamage_add	damage_scale	equiptime_scale	firerate_scale	maxaccuracy_scale	projpershot_scale	putdowntime_scale	recoil_scale	reloadtime_scale	spread_scale	zoomduration_scale
Pistol				0.950000	0.700000	1.100000	1.100000		0.700000		0.850000	0.900000	0.700000
AssaultRifle				1.100000		0.900000	0.850000			1.050000		0.900000	
SMG	1.250000			0.900000		1.250000	0.800000			0.800000		1.250000	
Shotgun	1.100000	1.000000		0.600000		0.800000	0.650000	3.000000		1.250000		2.000000	
Sniper			0.350000	1.300000		0.750000	0.600000			1.400000		0.600000	
Base_Pistol				1.100000	1.350000	0.900000	0.900000		1.350000		1.200000	1.100000	1.350000
Base_AssaultRifle				0.900000		1.100000	1.150000			0.950000		1.100000	
Base_SMG	0.800000			1.075000		0.800000	1.250000			1.250000		0.800000	
Base_Sniper			-0.350000	0.825000		1.350000	1.650000			0.700000		1.650000	
Base_Shotgun	0.900000			1.750000		1.100000	1.500000	0.500000		0.800000		0.500000	
Base_Shotgun_Maliwan	0.900000			0.875000		1.100000	1.500000			0.800000		0.500000	
