row_name	value
35_Contempt_CritDamage	0.050000
36_GottaGoFast_MeleeDamage	0.010000
36_GottaGoFast_KillMovementSpeed	0.060000
36_GottaGoFast_MaxStacks	5.000000
36_GottaGoFast_StackDuration	7.000000
37_Flurry_Duration	5.000000
37_Flurry_MaxStacks	1.000000
37_Flurry_FireRate	0.060000
37_Flurry_ReloadSpeed	-0.040000
38_PluggedIn_ShieldCapacity	0.100000
38_PluggedIn_ShieldRegen	0.100000
38_PluggedIn_HealthRegen	0.100000
38_PluggedIn_RegenDuration	5.000000
39_RatioTechnique_GunCritChance	0.020000
39_RationTechnique_MeleeCritChance	0.060000
40_Odium_MeleeCritBonus	2.000000
40_Odium_MeleeCritBonusPerLevel	1.500000
41_DeathBegetsDeath_ActionSkillDurationRestore	0.020000
42_GoingGhost_StealthDurationIncrease	1.000000
42_GoingGhost_StealthDurationPerLevel	0.500000
42_GoingGhost_StealthMovementSpeed	0.060000
44_Initialize_GunAccuracy	0.100000
44_Initialize_ReloadSpeed	-0.080000
44_Initialize_Duration	8.000000
45_NeutralSpecial_DamageMult	1.600000
46_Footwork_MaxStacks	100.000000
46_Footwork_MeleeCritLifestealBase	0.075000
46_Footwork_MeleeCritPerLevel	0.025000
47_Methodical_GunDamageCap	0.200000
47_Methodical_FireRateCap	1.000000
48_KillingMachine_ExecutableCooldownRestore	0.050000
49_Marathon_ReloadSpeedPerStack	-0.001000
49_Marathon_BonusMeleeDamage	0.250000
50_Retribution_GunDamage	0.080000
50_Retribution_CritDamage	0.050000
50_Retribution_Duration	5.000000
50_Retribution_MaxStacks	1.000000
51_InfiniteMurderHack_ProcChance	0.100000
52_Montage_StealthDuration	3.000000
53_Refactored_SniperCritMult	1.100000
54_TheGangsAllHere_Clones	1.000000
56_ThirdParty_StatusEffectDamage	0.060000
56_ThirdParty_ActionSkillDamage	0.075000
56_ThirdParty_PerCloneBonus	0.500000
56_ThirdParty_WyrmBonus	1.000000
57_ChipSurplus_RAMGunDamage	0.060000
57_ChipSurplus_ProcBonusDamage	0.060000
57_ChipSurplus_Duration	5.000000
58_WatchYourStep_OrdnanceDamagePerStack	0.001000
58_WatchYourStep_OrdnanceBonusDamage	0.100000
59_Overclocked_RAMgain	0.160000
60_FlowState_MeleeDamage	0.110000
60_FlowState_MaxStacks	3.000000
60_FlowState_StackDuration	10.000000
61_ViolentOutburst_ActionSkillCDR	0.100000
61_ViolentOutburst_OrdnanceCDR	0.200000
61_ViolentOutburst_Duration	10.000000
62_TheSweetScience_MeleeDamagePerStack	0.001000
63_AssaultVest_MeleeDamage	0.200000
