row_name	comment	value
ActionSkill_Cooldown		45.000000
Wyrm_Duration		35.000000
Wyrm_Spawn_MaxDistance		4000.000000
Wyrm_Health		25.000000
Wyrm_Overshield		10.000000
Wyrm_MeleeAttack_DamageMultiplier		0.240000
Wyrm_MeleeAttack_Height		300.000000
Wyrm_MeleeAttack_Angle		75.000000
Wyrm_MeleeAttack_Radius		800.000000
Wyrm_Aug_Gigabite_Radius	Use Melee attack for the rest	1200.000000
Wyrm_BreathAttack_DamageMultiplier		0.200000
Wyrm_BreathAttack_DamageInterval		0.330000
Wyrm_BreathAttack_Duration	This is remainder of start time + loop time	6.000000
Wyrm_BreathAttack_Height		400.000000
Wyrm_BreathAttack_Angle		75.000000
Wyrm_BreathAttack_Radius		1000.000000
Base_Executable_Cooldown		7.000000
Wyrm_BreathAttack_Cooldown		7.000000
Wyrm_BaseFunction_DamageMultiplier		0.400000
Wyrm_BaseFunction_Cooldown		3.000000
Wyrm_BaseFunction_NovaRadius		1000.000000
Wyrm_Aug_SSD_FunctionDMGMult		2.000000
Wyrm_Aug_Gigabite_DmgMult	Damage we deal when we bite	0.250000
Wyrm_Aug_Gigabite_HealCorpoPCT_Dmg	% we heal when we DAMAGE	0.065000
Wyrm_Aug_Gigabite_HealWyrmPCT_Dmg	% we heal Wyrm when we DAMAGE	0.065000
Wyrm_Aug_Gigabite_HealCorpoPCT_Kill	% we heal Corpo when we KILL	0.150000
Wyrm_Aug_Gigabite_HealWyrmPCT_Kill	% we heal Wyrm when we KILL	0.150000
Wyrm_Aug_Gigabite_IncreaseMaxHealth_DMG		0.100000
Wyrm_Aug_Gigabite_RestoreDuration		0.150000
Wyrm_Cap_Centrifug_DoT	Damage over Time to Enemies within the range	0.150000
Wyrm_Cap_Centrifug_DoT_Interval		0.750000
Wyrm_Cap_Centrifug_EndExplosion_Damage	Big damage at the end of the Singularity, will probably be affected by some global Damage buff	2.000000
Wyrm_Cap_Centrifug_Duration	Duration of the Singularity (will probably be affected by some global AoE duration increase passives, etc)	7.000000
Wyrm_Cap_Centrifug_MinRadius		150.000000
Wyrm_Cap_Centrifug_MaxRadius		1500.000000
Wyrm_Aug_IA_BonusDamageMult		0.750000
Wyrm_Cap_Brutaliz_DamageMultiplier	We deal this damage whne using MELEE ATTACKS while Brutaliz Capstone is on.Multiply the Base Melee DMG (2x might be a lot)	2.000000
Wyrm_Cap_Brutaliz_BerserkDMGMult	Damage we deal when we Berserk Swipe	0.250000
Wyrm_Cap_Brutaliz_Berserk_Radius	Sphere we use during Berserk	800.000000
Wyrm_Aug_Brutaliz_SelfDMG_DoT		0.075000
Wyrm_Cap_Brutaliz_Berserk_SelfDMG_DoT_Interval		0.500000
Wyrm_Aug_DDoS_DamageMultiplier		1.500000
Wyrm_Aug_DDoS_Area		750.000000
Wyrm_Aug_DDoS_DelayBeforeDamage	Delay before we launch the actual projectile going down to hit the target during DDoS	0.700000
Wyrm_Cap_Evolv_Proj_DMGMult		0.300000
Wyrm_Aug_IA_Duration		15.000000
Wyrm_Cap_Evolv_MissilesDelay		0.200000
SSD_MaxStorageVFX	The amount of damage we want to clamp the visual effects of SSD	80000.000000
Wyrm_Func_WiredConnexion_TetherDuration		7.000000
Wyrm_Cap_Evolv_BreathDamage		1.750000
Function_Cooldown_Base		4.000000
Function_Cooldown_Augment2		6.000000
Function_Cooldown_Augment3		8.000000
Function_Cooldown_Augment5		5.000000
Executable_Cooldown_Base		9.000000
Executable_Cooldown_Cap1		11.000000
Executable_Cooldown_Cap2		10.000000
Executable_Cooldown_Cap3		10.000000
Wyrm_DistanceBeforeExecutableTeleport		500.000000
Wyrm_Cap_Brutaliz_BerserkDuration		7.000000
Wyrm_PingDistance		8000.000000
Wyrm_Armor		10.000000
