row_name	comment	value
PhaseShard_Cooldown		35.000000
PhaseShard_Duration		10.000000
PhaseShard_Charges		3.000000
PhaseShard_PhaseClones_MaxDistance		4000.000000
PhaseShard_PhaseClones_MaxLimit		3.000000
PhaseShard_PhaseClones_SelfDamage_DamageMultiplier	Per Interval (below)	0.040000
PhaseShard_PhaseClones_SelfDamage_Interval		1.000000
PhaseShard_PhaseClones_SelfDamage_Delay		5.000000
PhaseShard_PhaseClones_SelfDamage_IncreasePercentagePerSecond		0.050000
PhaseShard_Specter_Health_Multiplier		2.500000
PhaseShard_Specter_Overshield_Multiplier		1.250000
PhaseShard_Specter_BaseWeapon_FireRate		5.200000
PhaseShard_Specter_Damage_Multiplier_Base		0.030000
PhaseShard_Specter_BaseWeapon_AmmoPerClip		20.000000
PhaseShard_Specter_BaseWeapon_ReloadTime		2.000000
PhaseShard_Reaper_BaseAttack_DamageMultiplier		0.143000
PhaseShard_Reaper_Health_Multiplier		3.250000
PhaseShard_Reaper_Overshield_Multiplier		1.750000
PhaseShard_Reaper_Base_Height		200.000000
PhaseShard_Reaper_Base_Angle		75.000000
PhaseShard_Reaper_Base_Radius		700.000000
PhaseShard_GrimReaper_Melee_DamageScalar		0.500000
PhaseShard_GrimReaper_Health_Multiplier		8.000000
PhaseShard_GrimReaper_Overshield_Multiplier		4.000000
PhaseShard_GrimReaper_Cooldown		120.000000
PhaseShard_GrimReaper_Drain_DamageMultiplier		0.020000
PhaseShard_GrimReaper_Drain_HealthRestoration_Multiplier	2 ticks per second. Percentage of Maximum Health.	0.010000
PhaseShard_GrimReaper_Drain_AttachDistance		1200.000000
PhaseShard_GrimReaper_SpawnReaper_Chance		0.330000
PhaseShard_Reaper_DemonicCleave_AttackCountRequirement		3.000000
PhaseShard_Reaper_DemonicCleave_DamageMultiplier	This hits 3 times	0.173000
PhaseShard_Reaper_DemonicCleave_HealthRestorePerHit_Percentage		0.150000
PhaseShard_SpectralArmory_Duration		10.000000
PhaseShard_SpectralArmory_DamageMultiplier		1.000000
PhaseShard_SpectralBlast_ReloadsRequired		1.000000
PhaseShard_SpectralBlast_DamageMultiplier		0.545000
PhaseShard_SpectralBlast_ProjectileSpeed		2500.000000
PhaseShard_SpectralBlast_Radius		128.000000
PhaseShard_Weave_Overshield_Grant_Percentage		1.000000
PhaseShard_Weave_Timescale_Percentage		0.300000
PhaseShard_Weave_Cooldown		42.000000
PhaseShard_Weave_Duration		12.000000
PhaseShard_Curse_Duration		15.000000
PhaseShard_Curse_DamageMultiplier		0.013500
PhaseShard_Curse_DamageTaken_Multiplier		0.300000
PhaseShard_Curse_MaxStacks		10.000000
PhaseShard_CriticalSymbiosis_CriticalHitChance		0.100000
PhaseShard_CriticalSymbiosis_Lifesteal		0.100000
PhaseShard_CriticalSymbiosis_MaxStacks		3.000000
PhaseShard_CriticalSymbiosis_Duration		20.000000
PhaseShard_PhaseWave_DamageMultiplier		0.333000
PhaseShard_PhaseWave_HealingPercentage		0.333000
PhaseShard_PhaseWave_Debuff_DamageDealtScalar	33% negative scale math	-0.500000
PhaseShard_PhaseWave_Buff_DamageDealtScalar		0.150000
PhaseShard_PhaseWave_Buff_Duration		10.000000
PhaseShard_PhaseWave_Debuff_Duration		10.000000
PhaseShard_PhaseWave_Radius	This is the MaxRadius the wave will reach	1500.000000
PhaseShard_PhaseWave_Damage_Duration	This is how long it takes for the Wave to hit its Max Radius.	1.000000
PhaseShard_PhaseWave_Cooldown		20.000000
PhaseShard_Illusionist_Cooldown		70.000000
PhaseShard_Illusionist_Badass_DamageScalar		0.500000
PhaseShard_Illusionist_Badass_HealthScalar		0.250000
