row_name	damage	health
BriefcaseBomb	1.350000	
CarryableOre		1.000000
Damageable_EridianCore		3.200000
Damageable_Generator		2.000000
Damageable_Stabilizer		1.000000
Damageable_WeirdChair		1.000000
DroneDeployable_Cover		4.000000
DroneDeployable_Mine	1.000000	1.000000
DroneDeployable_Trap	0.400000	4.000000
ElementalVents	0.100000	
EridiumContainer	1.200000	2.000000
ExplodingMissile	0.900000	1.000000
ExplodingObject_Simple	0.700000	0.100000
Exploding_Barrels	1.350000	1.000000
ExplodingObject_MunitionsBox	0.250000	0.100000
Grinder	0.400000	
Hazard_ArcingPanel	0.250000	
Hazard_Geyser	0.450000	
Hazard_SludgePipe	0.400000	
NavalMine	1.350000	1.000000
OrdoniteContainer	1.200000	2.000000
SolarPanel_Beam	0.100000	
SynthOrdoniteGrenade	1.100000	
