row_name	comment	value
CastIron_GunHandling		0.060000
CastIron_ForgeSkill_CooldownRate		0.050000
BuildingStorm_Elemental_DamageScalar		0.020000
BuildingStorm_Stacks_Duration		14.000000
BuildingStorm_Stacks_Max		3.000000
WeaponMaster_CriticalHit_DamageScalar		0.030000
WeaponMaster_Bonus_Duration		8.000000
RapidReload_Reload_SpeedScalar		-0.040000
RapidReload_Bonus_Duration		12.000000
DestructionEngine_ForgeSkill_DamageScalar		0.050000
DestructionEngine_Detonation_DamageScalar		0.060000
TemperedFlame_ForgeDrone_Axe_DamageMultiplier		0.021000
TemperedFlame_Duration		20.000000
TemperedFlame_TwinnedArmaments_Duration_Multiplier		0.800000
BoltAction_BonusDamage_DamageScalar		0.060000
BoltAction_BonusDamage_Duration		4.000000
Excitable_Detonation_GunDamage_DamageScalar		0.070000
Excitable_Duration		8.000000
LockedIn_Guns_CriticalHitChance		0.020000
LockedIn_Stacks_Max		3.000000
LockedIn_Stacks_Duration		10.000000
QuickCharge_Shock_BonusDamage_Multiplier		0.060000
QuickCharge_Duration		4.000000
ThunderClap_ActionSkill_CriticalHitChance		0.030000
ThunderClap_Shock_DamageMultiplier		0.200000
HeraldsCall_Shock_DamageScalar		0.060000
TemperedIce_Forgedrone_Hammer_DamageMultiplier		0.027500
TemperedIce_Duration		25.000000
TemperedIce_Cooldown		30.000000
TemperedIce_TimeDilation	Makes Hammer a smidge slower than the rest	-0.200000
DetonationStation_Ordnance_DamageScalar		0.050000
DetonationStation_Detonation_RadiusScalar		0.070000
Engineering_GrenadeRefund_ProcChance		0.060000
Engineering_HeavyWeaponRefund_ProcChance		0.060000
Engineering_HeavyWeaponRefund_Amount		1.000000
Annihilation_Stacks_Max		3.000000
Annihilation_Stacks_Duration		12.000000
Annihilation_FireRate_Scalar		0.020000
OrdainedHammer_ProcChance		0.250000
EmpoweredWeapons_Forgedrone_Duration		0.050000
EmpoweredWeapons_Forgedrone_DamageDealt		0.070000
TemperedLightning_Forgedrone_Sword_DamageMultiplier		0.015500
TemperedLightning_Duration		18.000000
QuickenedWeapons_TimeDilation		0.030000
SharpenedWeapons_CriticalHitChance		0.040000
SharpenedWeapons_ActionSkillCooldown_Percent		0.020000
Escalation_Stacks_Max		30.000000
Escalation_Stacks_Duration		12.000000
Escalation_DamageDealt		0.002500
Escalation_Detonation_Stacks		5.000000
IronDome_OverShield_Multiplier		0.030000
StoppingPower_BonusFire_DamageScalar		0.200000
StoppingPower_Duration		10.000000
CryogenicImpulse_Cooldown		2.000000
CryogenicImpulse_Hazard_Duration		8.000000
CryogenicImpulse_Hazard_DamageMultiplier		0.012000
CryogenicImpulse_Hazard_Radius		768.000000
Brightburn_StatusEffect_DamageScalar		0.110000
Brightburn_Hazard_DamageScalar		0.110000
PullOfTheElements_Cooldown		60.000000
PullOfTheElements_Duration		8.000000
PullOfTheElements_Radius_Min		128.000000
PullOfTheElements_Radius_Max		768.000000
RagingInferno_Skill_CriticalHitChance		0.030000
RagingInferno_Burning_DamageMultiplier		0.040000
HeatExchange_Duration		12.000000
HeatExchange_FireDamage		0.070000
HeatExchange_CryoDamage		0.070000
ElementalFont_Shield_Percent		0.070000
ElementalFont_Ordnance_Percent		0.060000
LightningRod_Cooldown		8.000000
LightningRod_DamageMultiplier		0.300000
LightningRod_ProcChance		0.250000
