row_name	comment	value
WrathOfNature_Cryo_ChargeScalar		0.075000
WrathOfNature_StatusEffect_ChanceScalar		0.075000
WrathOfNature_WeaponSwap_Timer	UNUSED	6.000000
Demolitionist_Ordnance_DamageScalar		0.050000
Demolitionist_MagazineSize		0.060000
Resolute_Health_MissingPercentage		0.020000
Resolute_TokenStack_Max		20.000000
Resolute_TokenStack_Duration		14.000000
Resolute_Health_OnDamaged_TokenStack_Scalar		0.100000
Vigor_Health_MaxmimumScalar		0.080000
Vigor_RepairKit_HealingScalar		0.080000
Perpetual_ActionSkill_DurationScalar		0.040000
Perpetual_WeaponSwap_SpeedScalar	Negative Scale Math. 25% at rank 5	-0.066667
FrostBite_ProcChance		0.300000
FrostBite_Damage_Multiplier		0.040000
FrostBite_Duration		4.000000
Battleborn_Gun_DamageScalar	Scales with Health Percentage	0.030000
BrittleHollowPoints_ProcChance		0.030000
BrittleHollowPoints_Charge_Amount		0.250000
Machinist_Cooldown_MissingPercentage		0.070000
AncientWays_Cryo_DamageScalar		0.060000
FeedbackLoop_ActionSkillDuration_Percentage		0.060000
WeakeningBlast_Ordnance_ProcChance		0.100000
WeakeningBlast_Melee_ProcChance		0.200000
Spartan_Shield_MaximumCapacity		0.070000
Spartan_Shield_BurningChance		0.060000
Spartan_StatusEffectChance		0.080000
Spartan_FireRate		0.040000
ElementalEchoes_DamageMultiplier		0.080000
ElementalEchoes_Radius		256.000000
SplitEchoes_ProcChance		0.070000
CryoAffinity_Gun_DamageScalar		0.012500
ShockAffinity_Critical_DamageScalar		0.012500
ElementalBolt_DamageMultiplier		0.125000
ElementalBolt_Height		750.000000
ElementalBolt_Radius		100.000000
HighVoltage_DamageMultiplier		2.000000
DiscoInferno_Stacks_Max		3.000000
DiscoInferno_Stacks_Duration		7.000000
DiscoInferno_FireRateScalar		0.020000
Wildfire_Ricochet_DamageScalar		0.050000
Wildfire_Burning_Duration		0.050000
Wildfire_Burning_Damage		0.050000
FlareUp_Cooldown		5.000000
FlareUp_Detonation_DamageMultiplier		0.185000
BulletHail_Ricochet_ProcChance		0.040000
BulletHail_Ricochet_DamageMultiplier		0.750000
BallisticShielding_Overshield_Multiplier		0.030000
AgeOfIce_Slowed_DamageScalar		0.060000
ElementalSurge_Shield_Restoration_Percentage		0.030000
ElementalSurge_Ammo_Restoration_Percentage		0.060000
ElementalSurge_ProcChance		0.250000
Flashbang_Ordnance_CriticalHitChance		0.030000
Flashbang_Shock_DamageMultiplier		0.070000
Tactician_FireRate		0.040000
Tactician_GunHandling_HipFire		-0.060000
Tactician_GunDamage		0.050000
Tactician_GunHandling_Aiming		0.060000
Forecast_ForgeSkill_Percent		0.030000
