row_name	comment	value
Specializations_Skills_Unlock_Tier_1		1.000000
Specializations_Skills_Unlock_Tier_2		10.000000
Specializations_Skills_Unlock_Tier_3		20.000000
Specializations_Skills_Unlock_Prestige_Link		10.000000
Specializations_Skills_FallOff		0.800000
Specializations_Skills_Cadence		10.000000
Specializations_Skills_Offset		0.000221
Specializations_Survivor_MaxHealth		0.015000
Specializations_Survivor_MaxShield		0.015000
Specializations_Survivor_DamageTaken_Full	30% in Negative Scale Math.	-0.428571
Specializations_Survivor_DamageDealt_Full		0.300000
Specializations_Survivor_FFYL_MovementTimer		0.500000
Specializations_Survivor_FFYL_RateMultiplier_Still		0.500000
Specializations_Survivor_FFYL_RestoreHealth	Pre-Add	1.000000
Specializations_Enforcer_GunDamage		0.010000
Specializations_Enforcer_FireRate_FFYL		0.250000
Specializations_Enforcer_FireRate_Melee		0.300000
Specializations_Enforcer_FireRate_Melee_Duration		8.000000
Specializations_Enforcer_GunDamage_PerStack		0.010000
Specializations_Enforcer_GunDamage_MaxStacks		50.000000
Specializations_Enforcer_GunDamage_StackDuration		6.000000
Specializations_Hunter_ReloadSpeed	30% at level 100. Negaive Scale Math.	-0.008285
Specializations_Hunter_Accuracy		0.010000
Specializations_Wanderer_MovementSpeed		0.003330
Specializations_Wanderer_MeleeDamage		0.015000
Specializations_Wanderer_GunDamage_WalkingSpeed		470.000000
Specializations_Wanderer_GunDamage_PerWalkingSpeed		0.150000
Specializations_Wanderer_MeleeDamage_From_GunDamage_Percentage		0.500000
Specializations_Wanderer_BonusDamage_StoredDamage_Percentile		0.200000
Specializations_Artificer_GadgetCooldown		0.010000
Specializations_Artificer_OrdnanceCooldownReduction_OnActionSkillUse		0.250000
Specializations_Artificer_OrdnanceDamage_From_GunDamage_Percentage		0.500000
Specializations_Artificer_Ordnance_CriticalHitChance		0.050000
Specializations_Artificer_Ordnance_CriticalHitDamage		0.500000
Specializations_Adventurer_ActionSkillCooldown		0.005000
Specializations_Adventurer_ActionSkillCooldownReduction_OnRepKitUse		0.250000
Specializations_Adventurer_ActionSkillDamage_From_GunDamage_Percentage		0.500000
Specializations_Adventurer_ActionSkill_CriticalHitChance		0.050000
Specializations_Adventurer_ActionSkill_CriticalHitCDamage		0.500000
Specializations_Hunter_Aim_GunDamage_PerStack		0.050000
Specializations_Hunter_Aim_CriticalHitDamage_PerStack		0.050000
Specializations_Hunter_Aim_MaxStacks		5.000000
Specializations_Hunter_Aim_StackDuration	All stacks consumed after this duration	3.000000
Specializations_Hunter_GunDamageStored_Percentage		1.000000
Specializations_Hunter_GunDamageStored_Duration		12.000000
Specializations_Hunter_GunDamageStored_Max_Percent	Damage Cap - Percentage of Action Skill Damage Formula	0.500000
Specializations_Slayer_CriticalHitDamage		0.010000
Specializations_Slayer_StatusEffectDamage		0.010000
Specializations_Slayer_StatusEffectChance_OnCriticalHit		0.100000
Specializations_Slayer_StatusEffectChance_Duration		10.000000
Specializations_Slayer_StatusEffectChance_Stacks		10.000000
Specializations_Slayer_AllDamage_PerStatusEffect		0.010000
Specializations_Slayer_Explosion_Damage_Percentage		0.500000
Specializations_Slayer_Explosion_MaxDamage_Multiplier	Relative to Skill Formula	4.000000
Specializations_Slayer_Explosion_Radius		512.000000
Specializations_DiminishingScalar		0.030000
Specializations_Adventurer_ActionSkillDamage		0.010000
