row_name	part_core_atl_protractor	part_core_atl_sureshot	part_core_atl_trackerantenna	part_core_atl_traumabond	part_core_bor_freeloader	part_core_bor_hardcharger	part_core_bor_highroller	part_core_bor_shortcircuit	part_core_cov_coldopen	part_core_cov_ducttape	part_core_cov_smelter	part_core_cov_ventilator	part_core_dad_accelerator	part_core_dad_backupplan	part_core_dad_bulletfabricator	part_core_dad_stockpiler	part_core_hyp_bulwark	part_core_hyp_shockguard	part_core_hyp_stabilizer	part_core_hyp_stimconverter	part_core_jak_bouncepass	part_core_jak_leaper	part_core_jak_piercer	part_core_jak_sequencer	part_core_mal_mixologist	part_core_mal_primedpotency	part_core_mal_synthesizer	part_core_mal_transfuser	part_core_ord_ammogenerator	part_core_ord_freecharger	part_core_ord_muzzlebrake	part_core_ord_powershot	part_core_ted_banger	part_core_ted_digidivider	part_core_ted_extendafriend	part_core_ted_recycler	part_core_tor_airburst	part_core_tor_boompuppy	part_core_tor_explosiception	part_core_tor_headringer	part_core_vla_bottomfeeder	part_core_vla_boxmagazine	part_core_vla_bullethose	part_core_vla_underdog	single
Part_Core_ATL_Protractor		NexusSerialized, 373FCE1099844D9BBAA22A55E6083BE1, Y-Initiator	NexusSerialized, 4A5BE3054A8445169BAEFC04DA4C3D68, Y-Z Nexus	NexusSerialized, 11AE5102CC9B429892177B0AD73AE552, X-Y Combo																																									NexusSerialized, 6DEFAD4D851B45CBB8CA5BA6FE64B356, Y-Cartridge
Part_Core_ATL_SureShot	NexusSerialized, A6548D22716E4DCD8FEC7F5C5D8012ED, Y-Initiator		NexusSerialized, D3A9FB9132B549818B4CAF631CDFFDDF, Z-Initiator	NexusSerialized, 52AC28ADA0CE4B43A805B96693667F55, X-Initiator																																									NexusSerialized, AC385FD7E2104BAA811C6D1004EAE4E7, Initiator
Part_Core_ATL_TrackerAntenna	NexusSerialized, AA2E6FA0D9374709BC818B48F8517085, Y-Z Nexus	NexusSerialized, ECA385466AD84082970D52CDECBA31E2, Z-Initator		NexusSerialized, 51C73DFE7C354EC7B1C6B93907296FE9, Z-X Junction																																									NexusSerialized, 692AE47986A1409CA5325E60B226D410, Z-Intercept
Part_Core_ATL_TraumaBond	NexusSerialized, BCAED15978904D07BC3FFCEAE2E8DA87, X-Y Combo	NexusSerialized, 14E48C29F7D94D1C9B41E96639AAC40F, X-Initiator	NexusSerialized, FF8B0928D7234FFCBCC97226332A6A7E, Z-X Junction																																										NexusSerialized, 4534B94AD4A94C9E9E10FE7A38D37388, X-Terminal
Part_Core_BOR_FreeLoader						NexusSerialized, 4C01E9704E134A7A8F497DF29440C502, Entropic	NexusSerialized, 35FC7730C0B04BEE8FDF51B9F992E6FF, Disruptor	NexusSerialized, A6FD08C310734EE8ACC1CF328F098027, Autocannibal																																					NexusSerialized, C6D37C70D0034C618763E15C1C418006, Autophage
Part_Core_BOR_HardCharger					NexusSerialized, D522A12789F14B15A4A2E994AE378C1C, Entropic		NexusSerialized, FBC9106D68DA4874939BD6DDD9DDFB1E, Slugger	NexusSerialized, 189AD3A8741649BB806902738069CAD1, Devourer																																					NexusSerialized, 72272F7B7DEE425786B4A82E7144B124, Sledge
Part_Core_BOR_HighRoller					NexusSerialized, 364BC28037EB4071BF68F5AA998A1C96, Disruptor	NexusSerialized, 02957049C6F74937852385536A0DB92D, Slugger		NexusSerialized, 3E7DAE1056984CE3BEFDF15CC64F7858, Binger																																					NexusSerialized, 652168944A524F3C8900B180CCE1B6C6, Slammer
Part_Core_BOR_ShortCircuit					NexusSerialized, 23B0D198CF364A999FD52B2972710302, Autocannibal	NexusSerialized, F4A967BE210E495094B66149F38FD0A9, Devourer	NexusSerialized, 7C625BA55DFD486EAC188E2B6790B916, Binger																																						NexusSerialized, 6BA41BF27E1B4509BBC3D0FA91161DC4, Glutton
Part_Core_COV_ColdOpen										NexusSerialized, 4DFD562A8C2E41E7BB4C4B018C681995, Boiling Point	NexusSerialized, 22852B2E5FB0470BAF1971BE58B27242, Blizzness	NexusSerialized, E37DB63B21DC46D0AE6DDFF2F8C516CA, Glacier																																	NexusSerialized, 8E2DFAF03B9B4BC0A855B0AD461D451B, Breezer
Part_Core_COV_DuctTape									NexusSerialized, 3C634AC479064654922ED51E3C128F19, Boiling Point		NexusSerialized, 01040BB8FEC84A258FC3BA261565638C, Quicksilver	NexusSerialized, 8A8CC7B7469E4D4ABC6B4228C216FCBD, Even Keel																																	NexusSerialized, 31601F58CC8B42EFACDC6AC16002AF34, Ramshackler
