row_name	part_stat_statuseffect_chance	part_stat_statuseffect_damage	part_stat_weapon_accuracy	part_stat_weapon_ads_proficiency	part_stat_weapon_criticaldamage	part_stat_weapon_damage	part_stat_weapon_equipspeed	part_stat_weapon_firerate	part_stat_weapon_magsize	part_stat_weapon_reloadspeed	part_stat_weapon_splashdamage	part_stat_weapon_splashradius	single
Part_Stat_Weapon_Damage	NexusSerialized, A50A393CCB654808B1A0307B39FC5095, Retributive	NexusSerialized, 3E40B32CFC9741FFB8168D71B3FDD02C, Dangerous	NexusSerialized, AD55347DFEF34816862DD99420D1259B, Stabbing	NexusSerialized, FB5F1C2851FF4C5F972BDAC7593407BD, Sharp	NexusSerialized, E5782B45C62A4589992FBF7948F521A8, Vindictive	NexusSerialized, 3C4094CCC0DC4916A932F3BEC309BFE8, Excruciating	NexusSerialized, E85833769C2949DB8CD8592ADB13B6CF, Flurrying	NexusSerialized, 33C442C7A790488896A1ABE44D291678, Torrential	NexusSerialized, 4A60D9DDF92B4456A81A1D57B821535F, Crushing	NexusSerialized, F173914A4B9E4FE4A6926666862821A2, Tearing	NexusSerialized, 8956CEBEDE22430C8E19032669EB0110, Blasting	NexusSerialized, 4D07E74FD3D9414C96F6745C0D5E3E3C, Catastrophic	EnhancementNamingStrategies, C8E84F49423149248AD4D5B494B5856E, Agonizing
Part_Stat_Weapon_FireRate	NexusSerialized, 325955EF20D749B8A0267734A354DAC5, Coating	NexusSerialized, B325EA4522034C7C908A8CAE9FE974BF, Wide-Nozzle	NexusSerialized, 44EB6A8AD86744ED9C5039B118164909, Fanning	NexusSerialized, 437920148042436B9E6222817E659C1C, Staccato	NexusSerialized, E602938CAF294C78B5AC51D0E3ED645C, Crack-Shot	NexusSerialized, 81596C439E164FDC8E815850EFF39E9D, Torrential	NexusSerialized, 7352D4D5E89E436584DF930480D6AF75, Snappy	NexusSerialized, 895403E14BE14D5EB0FFD4CB0DE203E5, Alacritous	NexusSerialized, B7555233813448D4B40B6D4DC6061029, Disgorging	NexusSerialized, 8A5BCE667448433EB289E85C81DE5A29, Relentless	NexusSerialized, 8D6E0733128D47A7A3432A9F4C3A1C45, Bombarding	NexusSerialized, 28E51C4EF82B4A9CAD87ADFF589EC340, Sloppy	NexusSerialized, 9CDD54CEBE4642719100DE185B760E87, Rapid
Part_Stat_Weapon_Accuracy	NexusSerialized, 1749FC46579D4FC193D16D61559CFEAE, Volatile	NexusSerialized, 70F79A469AA24F16B7475400845652F2, Erupting	NexusSerialized, 575F05E22D504CAF8297F3B668F333C3, Obsessive	NexusSerialized, 4874003DCD344838B7193EB52C842C5E, Commando	NexusSerialized, 77DE0570E9C842EBB5A741239CCAC098, Calculating	NexusSerialized, 96FDDE6F052443369043B9D43843F885, Stabbing	NexusSerialized, EA5BFB16CC764D169BA2E7F7B6A515D2, Poised	NexusSerialized, D27EFACC64314C1AA30AD5E97472B8CF, Fanning	NexusSerialized, CDC0F99678704CC8B888ED418EA76B9C, Frugal	NexusSerialized, 8100C979C921443F812FAFD763977E99, Professional	NexusSerialized, C68B6C41C2B247519B07FFEE2430AECF, Targeted	NexusSerialized, 7FF1CFFCE8CD483492EBD4C884E5FAC2, Comprehensive	NexusSerialized, F239E6C5F616408582A8B756945882F5, Concentrated
Part_Stat_Weapon_SplashDamage	NexusSerialized, 10E4BAD4E18E4A7E902168141DDC9BD4, Blowback	NexusSerialized, B94F52DE5CB24430A86C6E79CA28ECAB, Disastrous	NexusSerialized, F6F034C6D0844D318BCDF80180936203, Targeted	NexusSerialized, 24D71FCB3D164952899EE1E158BED816, Guided	NexusSerialized, DA671C7F0D914EDCBA32E16E0084B11E, Hotshot	NexusSerialized, A6FEA74197094A38A7A4D6D9D3E494CA, Blasting	NexusSerialized, 5E385AE953F34C7CBBBFD9E98B01D510, Primed	NexusSerialized, 51F70E87A78F48C1BBC0531F62DEA58E, Bombarding	NexusSerialized, 78011ECE8E094EF7A5C23E97BD3444C3, Arsenal	NexusSerialized, C0E30C7355FD4BF0AC8BB912ED85CD27, Pelting	NexusSerialized, 38F62E5CB93B4E288FA58ECC50C96A41, Collateral	NexusSerialized, C79CD35B33C140BE8AC4E236F263C892, Cratering	NexusSerialized, 8FA836F9D4CC43DD9565F0F27D142AB6, Concussive
Part_Stat_Weapon_CriticalDamage	NexusSerialized, D5D8578E69444B6CB8470D2E11893D23, Infusing	NexusSerialized, 9045D72986004E349ADCC9E9E2C4BBA3, Decimating	NexusSerialized, B5B851B9A719489C82997B9F00418D67, Calculating	NexusSerialized, 205968072D4D448AAEACAB19B5B78D3E, Proficient	NexusSerialized, 853A8282ED1B428D868E82AB7FBAE790, Deadly	NexusSerialized, 60D5A833FF52409EB6E78AFAC44B6ECE, Vindictive	NexusSerialized, 9B01B4226A5E491C9F7DACB442F40DA5, Versatile	NexusSerialized, C36608D991074FB0AF71E4B3ACDEE969, Crack-Shot	NexusSerialized, 0D59ABDEB0454E2CACEEA30B8687EF6E, Cyclopean	NexusSerialized, 0FF128908CC347B499D8BD536DB124AF, Pneumatic	NexusSerialized, AC09D5B02132432B8AA1591C5B065149, Hotshot	NexusSerialized, F120DDA219F440FD99D7E11D698D1D13, Merciless	NexusSerialized, E067BCFB7120474BA27BEAEFF0006C03, Brutal
Part_Stat_Weapon_SplashRadius	NexusSerialized, B07BF68F0DED41C38338A74E6F621505, Rampant	NexusSerialized, 00A69CB1FFBC459AA7A8DB1AA136B417, Blighting	NexusSerialized, F53B7A812C8544938B3CCA7B2FA8CA79, Comprehensive	NexusSerialized, BC8E49E3911448CF9352F12413C55791, Booming	NexusSerialized, 8ACF07A4B846417F8A12DEABEB4C2B2D, Merciless	NexusSerialized, B3B4A05D5B3C49F9BF29B8083FB7F2A1, Catastrophic	NexusSerialized, CAE0FE1009DD49BB8E7BEF5877599A37, Tidal	NexusSerialized, 587776D62FD944768ED1884981085E19, Sloppy	NexusSerialized, E9383917E6CA45799094366AE9BBA554, Spilling	NexusSerialized, 221EDCF95A91493CB4F96F80A86B2C6E, Deluge	NexusSerialized, 039E426340DB495AB87CBDD9913478C5, Cratering	NexusSerialized, 64122AED3B794EEA839AC2CB5EDD9A09, Devastating	NexusSerialized, 115771FE8E3342409C3C4C49D75A4C4D, Messy
Part_Stat_Weapon_ADS_Proficiency	NexusSerialized, E6F0F1E4B9C94320B894390B6B32D7A5, Alchemical	NexusSerialized, B51C966A445D4A40B9FE3DF06B1772BF, Shattering	NexusSerialized, 59929BA7BC134F1893AF4F4CDA739A2A, Commando	NexusSerialized, 3A63205A76DD490EA08EBFC9EF04D27A, Masterful	NexusSerialized, 69DA5FE74A204E518B36F1E83BEE8B33, Proficient	NexusSerialized, 2E83D40D97A04AD2A72BD6FB92A69068, Sharp	NexusSerialized, 798A8F0EFBED46F79795282868E94360, Strapped	NexusSerialized, 006A4F916E154164AA1BFC6C3B5ED1D5, Staccato	NexusSerialized, A3267D67572548D0AD1167CF04E88E55, Harvesting	NexusSerialized, 0C4DD4490ADD4F20B52F5AA8749481AD, Impulsive	NexusSerialized, 7F9F4AFB744E49AC8EFFD666FF702E53, Guided	NexusSerialized, 892B9598A5044D1C8A3F2B56BF6A2DE7, Booming	NexusSerialized, 31010330D30D44638DD2AFBD5E6CDEAA, Keen
Part_Stat_StatusEffect_Damage	NexusSerialized, 3A8C1837D5CC4CEDB0EDB360AD00B4AC, Debilitating	NexusSerialized, 448B14EC2B5442378D32CA88AE915696, Fulminant	NexusSerialized, 025C6B5337214617971B9B835D405014, Erupting	NexusSerialized, AAE95FF06FCC4A909761EA8CE02C6D56, Shattering	NexusSerialized, B122007B924148ABABCEE2EF9B28DA4F, Decimating	NexusSerialized, 4A8371354D3945EB95794108930ABD22, Dangerous	NexusSerialized, 6C6E8F2C87DB450EBCC9D4AF562F8667, Rapid-Onset	NexusSerialized, 46A966235CC24F57A06742C57EB89F33, Wide-Nozzle	NexusSerialized, 29A5777C2549475A8E510D1B6A912DEF, Excessive	NexusSerialized, 1645709A48314AC18B6677177B3A74BA, Dumping	NexusSerialized, 1D99DB71CFBD448B9DE6F394E446FF17, Disastrous	NexusSerialized, 058D85C4712C4450A227C14272D5DBE7, Blighting	NexusSerialized, D50F7B27F27D44FC952BD98A4626A351, Hazardous
Part_Stat_StatusEffect_Chance	NexusSerialized, 77A00768C45B4B90971AED1D51B66C7A, Distilled	NexusSerialized, 1990514353F741EF80DCC46FCC15E355, Debilitating	NexusSerialized, BAED533B4D894E8D973135488EAF648B, Volatile	NexusSerialized, 255DFCBC92BF4201B930B8DA26936486, Alchemical	NexusSerialized, FE34D4A4E1A549AAA19BBCA9B290C40C, Infusing	NexusSerialized, F65A852E54F445B582ACF854313A33A2, Retributive	NexusSerialized, 98207452A3954D319C4F517E0C8A564A, Slippery	NexusSerialized, BC65ED5354994E73B1231214026FD98D, Coating	NexusSerialized, D7884264773145E48DB782E8DD270545, Chimeric	NexusSerialized, 11D7047203534EDABDC0FC480919AC55, Rolling	NexusSerialized, 52C38C16F4FF49E3AF5902CF22F00A85, Blowback	NexusSerialized, A3AAE87BBF72480894D7F889237287A7, Rampant	NexusSerialized, F6A7B226AA9B40D4940F03278B73EC9F, Reactive
Part_Stat_Weapon_ReloadSpeed	NexusSerialized, A2760B4072434EB9AA375D7E88037A28, Rolling	NexusSerialized, 515482B496B547B4A744F857822FE9DD, Dumping	NexusSerialized, 5420DB24B2A94BC8982D7316F081B6FE, Professional	NexusSerialized, FF8C69234B5E44199B643E5850A5E2E7, Impulse	NexusSerialized, 977A05331FC441FB8F653E5389E9E05B, Pneumatic	NexusSerialized, B8A174B497B8433789AE453B1E4FD133, Tearing	NexusSerialized, 2A72F3A5339048BBA8BADE242396E70D, Quick-Fingered	NexusSerialized, 09C2C2768E934D38AD9C4918AF223BDD, Relentless	NexusSerialized, CEACA964D3004A6AA43E78B11B3CC6E5, Greased	NexusSerialized, 4FF13405C7FB4AEBA15262A253B66175, Blurred	NexusSerialized, FE65DDFAAFAE4C488D4047AE9FDB8DFD, Pelting	NexusSerialized, CFAC03DE63C04EA28C571B3FB819E36E, Deluge	NexusSerialized, 30033A526823476488C27EAC094B2325, Fast-Handed
