row_name	borg	daedalus	default	jakobs	maliwan	order	tediore	torgue	vladof
Cooldown	1.000000	1.000000	0.200000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Duration	1.000000	1.000000	0.300000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Health	1.000000	1.000000	0.300000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Damage	1.000000	1.000000	0.150000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Fire_Rate	1.000000	1.000000	0.150000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Accuracy	1.000000	1.000000	0.250000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Spread	1.000000	1.000000	0.250000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Projectile_Speed	1.000000	1.000000	0.350000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Damage_Radius	1.000000	1.000000	0.250000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
Elemental_Power	1.000000	1.000000	0.200000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
