row_name	comment1	cooldown_scale	damage_scale	radius_scale	value1
TOR_B01_A			0.950000		
TOR_B01_B		0.950000	1.050000		
TOR_B01_C		0.850000	0.900000		
TOR_B01_D		1.050000	0.850000		
TOR_B02_A			0.675000		
TOR_B02_B		0.875000			
TOR_B02_C					
TOR_B02_D			0.925000		
---					
VLA_B01_A		0.950000	1.050000		
VLA_B01_B	Free ammo every N shots	0.925000			6.000000
VLA_B01_C	Homing every N shots	0.900000	0.950000		6.000000
VLA_B01_D			1.075000		
VLA_B02_A		0.925000			
VLA_B02_B			1.250000	2.000000	
VLA_B02_C			0.650000		
VLA_B02_D		0.950000	1.050000		
----					
MAL_B01_A					
MAL_B01_B					
MAL_B01_C		0.950000	1.050000		
MAL_B01_D					
MAL_B02_A					
MAL_B02_B			0.625000		
MAL_B02_C		0.900000			
MAL_B02_D					
-----					
BOR_B01_A			0.800000		
BOR_B01_B			0.850000		
BOR_B01_C					
BOR_B01_D			0.800000		
BOR_B02_A			1.050000		
BOR_B02_B		0.900000	1.025000		
BOR_B02_C			0.850000		
BOR_B02_D		0.950000	1.025000		
