row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	cooldown	cryoimpact_scale	damage_scale	damageradius_value	firerate_value	magazinesize_value	spread_value	statuschance_scale	statusdamage_scale
TOR_Barrel_01	0.650000	2.000000	-4.000000	3.000000	50.000000	1.250000	1.850000	275.000000	1.000000	6.000000	2.000000	2.500000	0.400000
TOR_Barrel_02		0.350000		4.000000	70.000000	0.500000	0.425000	120.000000	6.250000	25.000000	5.000000	0.500000	2.000000
--													
VLA_Barrel_01		0.100000	-4.000000	6.000000	80.000000	0.400000	0.080000		30.000000	120.000000	4.000000	0.400000	0.800000
VLA_Barrel_02		0.350000		4.250000	50.000000	0.850000	0.550000	100.000000	4.000000	12.000000	2.750000	0.850000	1.200000
---													
BOR_Barrel_01		0.375000		3.000000	120.000000	1.500000	0.700000		4.000000	24.000000	2.000000	2.000000	0.350000
BOR_Barrel_02				1.000000	50.000000	2.000000	2.200000	200.000000	1.350000	4.000000	4.000000	3.000000	0.300000
----													
MAL_Barrel_01		0.500000		3.000000	70.000000	1.350000	3.100000	200.000000	0.750000	3.000000	3.000000	1.750000	0.750000
MAL_Barrel_02	0.800000	0.500000		2.000000	55.000000	0.800000	1.500000	300.000000	1.600000	6.000000	4.000000	0.800000	1.500000
