row_name	cooldown_scale	customdesc1	customdesc2	customvalue1	customvalue2	damage_payload_scale	damage_scale	radius_scale
SpinningBlade		Grenade Charges Override	DamageAmp Duration	1.000000	3.000000		3.000000	
ShoKunai	1.700000	Move Speed Modifier	Status Effect Duration	0.100000	10.000000		0.450000	
ShoKunai_0	1.700000	Max Stacks		7.000000			0.450000	
PredatorDrone		fuse time scale		2.000000			1.750000	1.500000
Whammy	2.000000	fuse time scale		-1.000000			1.200000	0.800000
Blockbuster	1.400000	mirv per bounce		2.000000			1.600000	1.300000
Buoy		Grenade Charge Add		2.000000			2.500000	
DiscoDisc		RotatingDmgScale		0.500000			1.500000	
Recursive	2.500000	GrenadeChargesOverride	ChildDmgMulti	1.000000	0.900000		0.750000	0.500000
Swarm		MirvDmgScale	MiniMirvDmgScale	0.500000	0.500000			
Fuse						0.100000		
Slippy							0.650000	0.650000
Axe	1.500000						2.000000	
ATLien		DivDamageMulti		1.000000				1.200000
FaultyDetonator	1.500000	FuseScaleAdd		0.500000		0.500000		-0.750000
Rubber		Grenade Charge Add		2.000000			1.300000	
Aggrovator	2.250000	GrenadeChargeOverrdie		0.500000				-3.000000
Waterfall		Waterfall Radius Scalar	Waterfall Damage Scalar	0.850000	0.500000			1.250000
Transmission		ProjMultiplier		0.500000				0.500000
