row_name	both	primary	secondary
--Universal--			
unv_absorb	NexusSerialized, 932E02E94A99905DB0FBC3BE8DE74945, Porcupine	NexusSerialized, 533A1C1D474C4855D3EEB5AB8463FBEE, Absorbing	NexusSerialized, 002FEF274D644923C2CF95A353C84DF0, Emollient
unv_adaptive	NexusSerialized, AA1C974C459ED0CF0406D59711949DBE, Evolutionary	NexusSerialized, 9A21B2D54BE3D8146ECFE7BDEEF051B4, Adaptive	NexusSerialized, F92381544B95183D0C1625B38631B373, Mutable
unv_capacity	NexusSerialized, 4D5F7C9C4E8B0E13F1C940ADCC874A74, Super-Sized	NexusSerialized, F590FDFC4FEC6991D83EFFB4BB39CC57, High-Capacity	NexusSerialized, 698C780241F07D03A9343A89D3558087, Generous
unv_evasive	NexusSerialized, B24281E34F9F54DFE83626B7445A384A, Untouchable	NexusSerialized, DC7D389F46C50F4C0F4023B69ABACAFF, Evasive	NexusSerialized, BA6523C247272D629CD8ABB0CAC61300, Dodgy
unv_healthy	NexusSerialized, 33BE806C4E452877592F0A9D173102DE, Vitalizing	NexusSerialized, 42BDC78B48D6F4538AAEFE9DFE10FFFB, Healthy	NexusSerialized, A2F7FA70495852321DE7A9A51248227F, Vigorous
unv_health_booster	NexusSerialized, EC300FA246260BA49A4C45801A640340, Panacea	NexusSerialized, 4EB772854F80034B04C39490ECAE574F, Medical	NexusSerialized, F9C699374787CC86BDEEC2A6AF6F2A9C, Vitamin
unv_mag_refresh	NexusSerialized, 9D430540452EA87E39300896DEE6CA01, Arsenal	NexusSerialized, A97CFBD442F18C98260BCD8BB9E316D1, Armory	NexusSerialized, 0283B36742D56E3813DE438AF818CF05, Racking
unv_overshield_booster	NexusSerialized, B6BE7FDF418FB0F02C823BBF935D3265, Elephantine	NexusSerialized, 44AF760449CE2197A2385696E3DA0536, Overshielding	NexusSerialized, CAB12D5147AAE8A9AD1EE0A03F1B17EE, Padding
unv_pinpoint	NexusSerialized, 0EB6028947755AFCB7298FAE87B62575, Hyperfocused	NexusSerialized, EA2D2865424A8A66AEB5F7B86BE2A7D5, Pinpoint	NexusSerialized, 012B82A947E56F311F0475B16EE4C2FE, Tunnel-Vision
unv_power_booster	NexusSerialized, C7239BB848F1CE4C0E877390AA1FB918, Ravaging	NexusSerialized, 8DC970094306055A3D861894A14DE5D6, Violent	NexusSerialized, D27E643C42379BA3804309A6F335B116, Protein-Rich
unv_projected	NexusSerialized, 45DF2353477DEA5ECD437F9EED2215DD, Etched	NexusSerialized, BD6637134FA3DE64B742909721ED8BAE, Projected	NexusSerialized, E10416854C668A1AB94598AD2CB5E92A, Beamed
unv_reflect	NexusSerialized, E186CA5647A4537DBE802AAD283355A0, Mirrored	NexusSerialized, 824AB17E403C84F8A688F1BCDEE2A226, Reflective	NexusSerialized, 5AF6AC744A74F1422D92078E8F755ED6, Glossy
unv_resistant	NexusSerialized, 7237ED814C964462135EB993B4782BD6, Immunizing	NexusSerialized, B63914124EEFDA1BB9DC45820B9A1BD4, Resistant	NexusSerialized, E15196CB4DDDC4AB0640B1A416B829B2, Weatherproof
unv_spike	NexusSerialized, 1DFE9C59439DE66A5CD8729D5C41B82C, Porcupine	NexusSerialized, A16F4E2F402AE6EA75F842AF05629C52, Spiked	NexusSerialized, 242B2E7B4F832BBFB9C545A2BB2BA673, Pointed
unv_sturdy	NexusSerialized, 1AC7E4094E13205E8E5C419F7B9C870F, Impregnable	NexusSerialized, 4354B2C54AC258970BF035889A455D56, Sturdy	NexusSerialized, 7A82D2B14DC80A66B1F267A6C393E725, Stoic
unv_turtle	NexusSerialized, B18BBA4F4B47E24E1D3E39A9E5B80F88, Tortoise	NexusSerialized, 531B78D6412F4723A4E076BBBC837259, Turtle	NexusSerialized, CC781AA045C11ECDBC53E8A259B8033F, Chitinous
unv_utility	NexusSerialized, 3EFD9A954493E74338599F9A42760DBC, Scouting	NexusSerialized, 313AE0EA4B29587E4076F39F5CA22585, Handy	NexusSerialized, A45C555C43E9582BAF65F6BC869B8552, Dextrous
--Armor--			
ra_flanking	NexusSerialized, 84C16E6B4A05F441EDADB4986231307E, Manueverable	NexusSerialized, 01F0C3934EA2FA2A786C4D9DB1126542, Flanking	NexusSerialized, FDD30DD1488304BF11ADAB87C1FEB359, Sidestepping
ra_armor_segment	NexusSerialized, 53431411440CB76CF8D117B3EBD59719, Plated	NexusSerialized, 35FCFADE43B1008656868BA58728B081, Scaled	NexusSerialized, 6284408B4474AB92554883A2D1352BF5, Segmented
ra_armor_strength	NexusSerialized, C12F95E0464FCCDCB266C3A054359CDF, Galvanized	NexusSerialized, 482AFFA84B7AF23498D9ABB6A4BA5C78, Hardened	NexusSerialized, B0AC230B4D265E0D479506BD0C130AE4, Stiff
ra_bladed	NexusSerialized, FE726E99461D88561BF4E4B392412608, Razor	NexusSerialized, A6CB7AB3400E334C153F3BBC4F9D8721, Bladed	NexusSerialized, 6F58735543163D90EAE61390628B2861, Sharpened
ra_heavy_plating	NexusSerialized, 0D18B58C409266A4443D5EABD590FBFF, Indomitable	NexusSerialized, 1BB9689045396E5228CEC6BAC132D9C6, Tough	NexusSerialized, 34D8A98945724631A746358B40269BE6, Thick-Skinned
ra_spunky	NexusSerialized, E5B6BD9D4CF27801C5BEEC9A3A8962C3, Clutch	NexusSerialized, 80984E654B4D7BC854429C9D61D5E3CE, Spunky	NexusSerialized, BE6FCBEA4D907DF538FFD1B4E0F86B3F, Desperate
ra_knockback	NexusSerialized, 0713019E4581446BB5CEBF834C74E431, Agoraphobic	NexusSerialized, EF3EF9454D054891CA79C6A6B827DCF0, Loner	NexusSerialized, 1C44DCF641C46CE5B65C22ABA0AF5170, Introverted
ra_missile_swarm	NexusSerialized, 859906AC46F182191A9D97AA35EC5560, MAD	NexusSerialized, 54E66F0F4DC923983AC9739B80762068, Barrage	NexusSerialized, 009B51B74C0FC2C7C393BF8BC0526A9E, Swarming
ra_nova_segment	NexusSerialized, 4F4764754D81C9B8BBC9F689C7501FB3, Mini Supernova	NexusSerialized, 392201504CB47B631A735DBC52E59DDA, Mini Nova	NexusSerialized, 436F382D45C4935F0000FE8BCB996770, Micro Nova
ra_boxer	NexusSerialized, 5B7CA56841278ECECC775F8C78B2625C, Haymaker	NexusSerialized, 0F5D9D0347DC30710C0D718C0029DF40, Boxer	NexusSerialized, 69DDD78040E4C58742E8869E465BF504, Jabbing
ra_positive_reinforcement	NexusSerialized, D6E0D92944098BFB8917109978F056BB, Conditioned	NexusSerialized, 797B5B844E6C2D16E85A47993A1E3B3D, Positive Reinforcement	NexusSerialized, 6F750B444C20F7AA26D82CB4DAA689D5, Encouraging
ra_reinforced	NexusSerialized, D25E08124721B22C280D0D9F8AEF953E, Bolstered	NexusSerialized, E53A1F72452E9454433F7995923BE6F5, Reinforced	NexusSerialized, F52C039E4F582B36FF13FAAA34DA6694, Protective
ra_scavenger	NexusSerialized, 5AFA6D714B52E57BA8FDE6A5632F0E54, Scavenger	NexusSerialized, BD50773843813D015CD692A7A6CF7B57, Scrapper	NexusSerialized, 7EDAE3B04EC181212BBD828BCD105D37, Junker
--Energy--			
eng_amp	NexusSerialized, 5AB296CF4B9FC961D4E0AFB1FB3DA7BE, Superconductor	NexusSerialized, 2696E8254D324A99649E17BAD0C7BD1D, Amp	NexusSerialized, DD18413443B5C5CCCD4B13A125345A39, Synergized
eng_brimming	NexusSerialized, CCB163C745FA3AAACD19239298BDD8EF, Pampering	NexusSerialized, C227CAC5418A7B527CD78FA69142AAA9, Restful	NexusSerialized, 6A53BC9F4CE697EE74516BA96A7FE51C, Relaxed
eng_fleeting	NexusSerialized, 337F55524F239E0B0D5DED8D7E416444, Rabbit	NexusSerialized, 63035E98409B09A610F8B69B7A95030F, Fleeting	NexusSerialized, FAB309A441C05B1ED327849ABC8FF52C, Panicking
eng_siphon	NexusSerialized, FF78F90F40416186436148ADCEBDF507, Reverberating	NexusSerialized, 4EC87498419666EB3E0944BB2C8BA386, Resonant	NexusSerialized, 88D68B774D2B5406D7FC57BB5C59D9B2, Tolling
eng_nova	NexusSerialized, 3CAD976C4C20BB886D3AB1A3FE8F94CE, Supernova	NexusSerialized, 603C469B4C77DB2207A503AB761A9042, Nova	NexusSerialized, 89D5D85241A9E0AD92C0C18AB3AF2CBB, Remnant
eng_trigger_happy	NexusSerialized, BB9352904951E7EEACEAB393C5CBC775, Spray-and-Pray	NexusSerialized, 6F5F71954F490E4B753C28ADB7322087, Trigger-Happy	NexusSerialized, B4E2BA354529C594AE59ADAFCF6FCDEC, Itchy
eng_emerging	NexusSerialized, 6D62C2B04F52417DCF9F8A83C6A114E4, Revealing	NexusSerialized, 1DD9763348EBA1CDFEF6F8B422AD8CA5, Emerging	NexusSerialized, DF7A8EB647100E6F2FCC72B37FAA88EF, Debuting
eng_berserker	NexusSerialized, 85D8C06F41F68D484F7D80AB0C62D461, Ulfhednar	NexusSerialized, 9DA809CC4B285F7384EF9B8C4547C45B, Berserkr	NexusSerialized, 7F21E3B0400CE6048A034BB1020BFE81, Jofurr
eng_shield_booster	NexusSerialized, 57DFC1364DCED0CE68BF8480D81C3BDA, Battery-Powered	NexusSerialized, 00E687ED451307BB8C2EFB90AD18747E, Booster	NexusSerialized, E1B6F030401B44211EAB59A5043887C0, Trickle-Charged
