row_name	deactivatedistance	distanceabort	maxactiveinstances	maxalivetime	probability
Default	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	0	attribute'activity_default_max_alive_time_dynamic'	0.000000
Airship_AirCargo	attribute'activity_worldevent_deactivate_distance'	attribute'activity_default_abort_distance_dynamic_rare'	2	attribute'activity_worldevent_max_alive_time'	0.500000
ElpisFall	attribute'activity_worldevent_deactivate_distance'	attribute'activity_default_abort_distance_dynamic_rare'		attribute'activity_worldevent_max_alive_time'	1.000000
Ambient_DecoNPC	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	5	attribute'activity_default_max_alive_time_dynamic'	1.000000
Ambient_CombatNPC	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	10	attribute'activity_default_max_alive_time_dynamic'	1.000000
Ambient_Order	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	4	attribute'activity_default_max_alive_time_dynamic'	1.000000
Ambient_Ripper	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	4	attribute'activity_default_max_alive_time_dynamic'	1.000000
Ambient_Creature	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	4	attribute'activity_default_max_alive_time_dynamic'	1.000000
Fight_OrderNPC	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	3	attribute'activity_default_max_alive_time_dynamic'	1.000000
StaticCaravan	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	2	attribute'activity_default_max_alive_time_dynamic'	1.000000
VehicleOnFire	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	2	attribute'activity_default_max_alive_time_dynamic'	1.000000
HelpedNPC	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	2	attribute'activity_default_max_alive_time_dynamic'	1.000000
NPCMoment	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	3	attribute'activity_default_max_alive_time_dynamic'	1.000000
Droppod	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	2	attribute'activity_default_max_alive_time_dynamic'	1.000000
Driller	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	2	attribute'activity_default_max_alive_time_dynamic'	1.000000
CreatureCage	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'		attribute'activity_default_max_alive_time_dynamic'	1.000000
Dressings	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	15	attribute'activity_default_max_alive_time_dynamic'	1.000000
Fishing	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	10	attribute'activity_default_max_alive_time_dynamic'	1.000000
WorldBoss	attribute'activity_default_deactivate_distance_dynamic'	attribute'activity_default_abort_distance_dynamic'	2	attribute'activity_default_max_alive_time_dynamic'	1.000000
