row_name	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
PangolinBoss	155.000000	15.000000	
PangolinBossTRUE	310.000000	30.000000	
Pangolin_Clone	15.000000	15.000000	15.000000
Proj_PangoPup	0.500000	0.500000	0.500000
Proj_Pangolin	2.000000	2.000000	2.000000
Psycho_OrdiniteInfused	20.000000	7.000000	
Psycho_OrdiniteInfused_PearlGearGen	40.000000	10.000000	
Psycho_Clone	6.000000	6.000000	6.000000
GunToterSmall_OrdiniteInufsed			
Phalanx_OrdiniteInfused	30.000000	7.000000	
Phalanx_OrdiniteInfused_PearlGearGen	60.000000	10.000000	
Phalanx_Clone	9.000000	9.000000	9.000000
Phalanx_OrdiniteInfused_MiniBoss	135.000000	10.000000	
Phalanx_OrdiniteInfused_MiniBossTRUE	270.000000	20.000000	
Phalanx_OrdiniteInfused_MiniBoss_Clone	9.000000	9.000000	9.000000
Meathead_OrdiniteInfused	25.000000	7.000000	
Meathead_OrdiniteInfused_PearlGearGen	50.000000	10.000000	
Meathead_Clone	7.500000	7.500000	7.500000
Meathead_OrdiniteInfused_MiniBoss	120.000000	10.000000	
Meathead_OrdiniteInfused_MiniBossTRUE	240.000000	20.000000	
Meathead_OrdiniteInfused_MiniBoss_Clone	11.250000	11.250000	11.250000
Splice_OrdiniteInfused_PearlGearGen	45.000000	10.000000	
Splice_Clone	7.500000	7.500000	7.500000
Splice_OrdiniteInfused_MiniBoss	125.000000	10.000000	
Splice_OrdiniteInfused_MiniBossTRUE	250.000000	20.000000	
Splice_OrdiniteInfused_MiniBoss_Clone	9.000000	9.000000	9.000000
GunToter_OrdiniteInfused	18.000000	6.000000	
GunToter_OrdiniteInfused_PearlGearGen	36.000000	10.000000	
GunToter_Clone	7.500000	7.500000	7.500000
Bat_OrdiniteInfused	30.000000	2.000000	
PangoPup_Scared	2.000000	2.000000	2.000000
PangoPup_Aggressive	3.000000	3.000000	3.000000
Pangolin_BossAdd	3.000000	3.000000	3.000000
Auger_Suicide	2.500000	2.500000	2.500000
Auger_Suicide_BossAdd			
Auger_Melee	2.500000	2.500000	2.500000
Auger_Melee_BossAdd			
Cat_OrdiniteInfused_MiniBoss	135.000000	10.000000	
Cat_OrdiniteInfused_MiniBossTRUE	270.000000	20.000000	
Cat_OrdiniteInfused_MiniBoss_Clone	11.250000	11.250000	11.250000
GunToter_OrdiniteCarrier	1.750000	1.500000	1.500000
