row_name	comment	value
01_Capacitor_StatusEffectChance		0.080000
01_Capacitor_MaxStacks		1.000000
02_EstablishedGameplayLoop_GunDamage		0.040000
02_EstablishedGameplayLoop_ReloadSpeed		-0.060000
02_EstablishedGameplayLoop_Duration		10.000000
02_EstablishedGameplayLoop_MaxStacks		3.000000
03_MiseryLovesCompany_CDR		0.030000
03_MiseryLovesCompany_Duration		12.000000
03_MiseryLovesCompany_MaxStacks		1.000000
04_ToxicMentality_CorrosiveDamage		0.040000
04_ToxicMentality_BonusDamage		0.020000
04_ToxicMentality_MaxStacks		3.000000
04_ToxicMentality_Duration		12.000000
05_LovelessSecretStuff_EDamage		0.100000
05_LovelessSecretStuff_Duration		16.000000
06_Contaminant_BaseDropChance	should be .25	0.250000
06_Contaminant_DropChance		0.050000
06_Contaminant_Cooldown		30.000000
07_Luckless_SEChance		0.100000
08_DeathBegetsDeath_EDamage		0.060000
08_DeathDegetsDeath_SEChance		0.100000
09_PotentialTransference_Chance		0.030000
09_PotentialTransference_Cooldown_Base		27.000000
09_PotentialTransference_Cooldown_Grade		2.000000
10_Kaleidoscantaminant_CDReduction		-4.000000
11_CommunicableCombustible_ActionSkillDamage		0.090000
11_CommunicableCombustible_StatusEffectDamage		0.080000
11_CommunicableCombustible_Duration		12.000000
12_GeneticImmunity_MaxStacks		3.000000
12_GeneticImmunity_Duration		12.000000
12_GeneticImmunity_DamageReduction		-0.110000
13_IrrationalIrradiation_BonusDamage		0.080000
13_IrrationalIrradiation_Duration		12.000000
14_ConservationOfLife_SpawnChance		0.020000
14_ConservationOfLife_Duration		12.000000
14_ConservationOfLife_HealthGained		0.120000
14_ConservationOfLife_ShieldGained		0.120000
14_ConservationOfLife_ShieldRegenRate		0.150000
14_ConservationOfLife_DropChance		0.030000
15_TurboButton_ExecutableCooldownRate		0.090000
15_TurboButton_ASCDReduction	Seconds	2.000000
15_TurboButton_ExeCDReduction	Seconds	1.000000
16_CircularLogic_MaxStacks		20.000000
16_CircularLogic_ActionSkillDamage		0.030000
17_Overflow_DefaultGrenade_Radius		400.000000
17_Overflow_DefaultGrenade_DamageScalar		0.700000
17_Overflow_Cooldown		3.000000
18_CompoundingDetonation_ContagionRadius		0.050000
18_CompoundingDetonation_ContagionDamage		0.050000
18_CompoundingDetonation_MaxStacks	Radius * MaxStacks = 2	40.000000
19_WideNet_SplashDamage		0.080000
19_WideNet_SplashRadius		0.070000
20_DirtyBomb_BonusDamage		0.080000
20_DirtyBomb_ContagionChance		0.040000
21_DataLeakage_RamIncrease		0.050000
21_DataLeakage_Explosion_BaseScalar		0.300000
21_DataLeakage_Explosion_Scalar		0.120000
21_DataLeakage_Explosion_Radius		512.000000
22_ConservationOfVolatility_SpawnChance		0.020000
22_ConservationOfVolatility_SplashRadius		0.140000
22_ConservationOfVolatility_ElementalDamage		0.150000
22_ConservationOfVolatility_Duration		12.000000
22_ConservationOfVolatility_DropChance		0.030000
23_ZeroDay_Explosion_BaseDamageScalar		0.500000
23_ZeroDay_Explosion_DamageScalar		0.400000
23_ZeroDay_Explosion_Radius		768.000000
24_SystemRestore_Lifesteal		0.090000
25_StatusCritical_StatusEffectCritChance		0.020000
26_ConservationOfMalice_SpawnChance		0.020000
26_ConservationOfMalice_GunDamage		0.080000
26_ConservationOfMalice_FireRate		0.070000
26_ConservationOfMalice_Duration		12.000000
26_ConservationOfMalice_DropChance		0.020000
27_WhenItRains_CritChance		0.020000
27_WhenItRains_CritDamage		0.060000
28_DataThief_LifeSteal		0.090000
29_InsultToInjury_GunDamage	REMOVE	0.040000
29_Feedback_StatusEffectDamage		0.150000
29_Feedback_Duration		12.000000
29_Feedback_RAMRefill		0.100000
30_ItPours_ContagionChance		0.100000
30_ItPours_Cooldown		5.000000
31_DeadHorse_GunDamage		0.040000
