row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
SMG				
Medic		1.250000	1.250000	1.250000
Laser	1.500000	1.500000	1.500000	1.500000
Engineer	1.500000	1.250000	1.250000	1.250000
Aerialist	1.500000	1.500000	1.500000	1.500000
Sergeant		1.500000	1.500000	1.500000
Sniper	1.500000	2.000000	2.000000	2.000000
Sprayer	1.500000	3.000000	3.000000	3.000000
RocketBadass	2.000000	5.000000	5.000000	5.000000
FlyingBadass	2.000000	5.000000	5.000000	5.000000
NightmareHead	0.750000	0.750000		
NightmareLegs		2.000000	2.000000	2.000000
NightmareTorso	1.500000	2.000000	2.000000	2.000000
NightmareCadaver		2.000000	2.000000	2.000000
NightmareSpider	1.500000	3.500000	3.500000	3.500000
ShieldWall		2.000000		
DahlSoldierBossAdd	0.100000	0.250000	0.250000	0.250000
DahlNightmareBossAdd	0.100000	0.500000	0.500000	0.500000
