row_name	cash	combatexperience	damagetaken	enemyhealth	eridium	lootluck
Mayhem1	0.200000	0.100000	0.120000	1.500000	0.200000	0.200000
Mayhem2	0.250000	0.125000	0.140000	2.000000	0.250000	0.250000
Mayhem3	0.300000	0.150000	0.160000	2.500000	0.300000	0.300000
Mayhem4	0.350000	0.175000	0.180000	3.000000	0.350000	0.350000
Mayhem5	0.400000	0.200000	0.200000	3.500000	0.400000	0.400000
Mayhem6	0.450000	0.225000	0.220000	4.000000	0.450000	0.450000
Mayhem7	0.500000	0.250000	0.240000	4.500000	0.500000	0.500000
Mayhem8	0.550000	0.275000	0.260000	5.000000	0.550000	0.550000
Mayhem9	0.600000	0.300000	0.300000	5.500000	0.600000	0.600000
Mayhem10	0.650000	0.325000	0.320000	6.000000	0.650000	0.650000
Mayhem11	0.675000	0.350000	0.340000	6.250000	0.675000	0.675000
Mayhem12	0.700000	0.375000	0.360000	6.500000	0.700000	0.700000
Mayhem13	0.725000	0.400000	0.380000	6.750000	0.725000	0.725000
Mayhem14	0.750000	0.425000	0.400000	7.000000	0.750000	0.750000
Mayhem15	0.775000	0.450000	0.420000	7.250000	0.775000	0.775000
Mayhem16	0.800000	0.475000	0.440000	7.500000	0.800000	0.800000
Mayhem17	0.825000	0.500000	0.460000	7.750000	0.825000	0.825000
Mayhem18	0.850000	0.525000	0.480000	8.000000	0.850000	0.850000
Mayhem19	0.875000	0.550000	0.500000	8.250000	0.875000	0.875000
Mayhem20	0.900000	0.575000	0.520000	8.500000	0.900000	0.900000
