row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
Basic				
Shield		1.500000	1.500000	1.500000
Mine		2.000000	2.000000	2.000000
Turret		2.000000	2.000000	2.000000
Badass		5.500000	5.500000	5.500000
Constructor		2.000000	2.000000	2.000000
Loot		10.000000	5.000000	5.000000
Seeker			0.250000	
MiniDrone		0.200000	0.200000	0.200000
ProjMine		0.200000	0.200000	0.200000
ProjMineBadass		0.500000	0.500000	0.500000
Corrupt	2.000000	10.000000	3.000000	1.500000
BossAdd	0.100000	0.250000	0.250000	0.250000
Intro	0.500000	0.500000	0.500000	0.500000
