row_name	classmods_probability	currencyorammo_probability	enhancements_probability	exp_multiplier	grenadesorgadgets_probability	guns_probability	repkits_probability	shields_probability
Chump	0.050000	0.750000	0.050000	0.100000	0.050000	0.050000	0.050000	0.050000
Normal	0.050000	0.500000	0.050000	0.750000	0.050000	0.050000	0.050000	0.050000
Elite	0.100000	0.500000	0.100000	1.000000	0.100000	0.100000	0.100000	0.100000
Badass	0.200000	1.000000	0.200000	4.000000	0.200000	0.660000	0.200000	0.200000
BadassSuper	0.250000	1.000000	0.250000	5.000000	0.250000	0.660000	0.250000	0.250000
BadassCorrupt	0.300000	1.000000	0.300000	6.000000	0.300000	0.750000	0.300000	0.300000
Loot	0.350000	1.000000	0.350000	6.000000	0.450000	1.000000	0.350000	0.500000
BossMini	0.500000	1.000000	0.500000	7.000000	0.500000	1.000000	0.500000	0.500000
Boss	0.500000	1.000000	0.500000	10.000000	0.500000	1.000000	0.500000	0.500000
BossVault	0.660000	1.000000	0.660000	12.000000	0.660000	1.000000	0.660000	0.660000
BossRaid	0.750000	1.000000	0.750000	15.000000	0.750000	1.000000	0.750000	0.750000
