row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
LiveGun	0.750000	3.000000	3.000000	3.000000
LiveRocket	0.750000	3.000000	3.000000	3.000000
LiveBlade		4.000000	4.000000	4.000000
LiveSprayer		5.000000	5.000000	5.000000
DeadGun		3.000000	3.000000	3.000000
DeadRocket		3.000000	3.000000	3.000000
DeadBlade		4.000000	4.000000	4.000000
DeadSprayer		5.000000	5.000000	5.000000
DeadSuicide	2.000000	3.000000	3.000000	3.000000
BossAdd	0.100000			
LavaManager		15.000000	15.000000	15.000000
LavaManager_Replay		25.000000	25.000000	25.000000
LavaManager_ReplayTRUE		60.000000	60.000000	60.000000
Lockdown		60.000000	60.000000	60.000000
Lockdown_Replay		60.000000	60.000000	60.000000
Lockdown_ReplayTRUE		120.000000	120.000000	120.000000
NoVacancy		12.000000	5.000000	5.000000
Lockdown_Pilot		60.000000	60.000000	50.000000
Lockdown_Pilot_Replay		60.000000	60.000000	60.000000
Lockdown_Pilot_ReplayTRUE		120.000000	120.000000	120.000000
Lockdown_ProjMissile		0.010000	0.010000	0.010000
Lockdown_TurretShield		10.000000	10.000000	10.000000
WillyRuler		6.000000	6.000000	6.000000
Lockdown_Frame_DigiArena		125.000000	125.000000	125.000000
Lockdown_Frame_DigiArena_Replay		125.000000	125.000000	125.000000
Lockdown_Frame_DigiArena_ReplayTRUE		250.000000	250.000000	250.000000
