row_name	angle	comment	cooldown	custom_01	custom_02	custom_03	custom_04	custom_05	custom_06	custom_07	custom_08	custom_09	custom_10	custom_11	custom_12	custom_13	custom_14	custom_15	custom_16	custom_17	custom_18	dmgmultiplier	duration	halfheight	radius
GrassGuard_General_Flow		C01 = Combat Started Warmup Ground Attacks // C02 = Cooldown Ground Attack Sequences // C03 = Ticket Ground Attacks To Reposition Leaps // C04 = Ticket Ground Attacks To Spawn Spores // C18 = AITree Body Rotation Angle Target Radius		0.500000	0.500000	0.200000															500.000000				
GrassGuard_FightStart		C01 = On Fight Start Grounded Idle Time // C02 = On Fight Start Perched Time Before Unperch		0.500000	0.250000																				
GrassGuard_LookAtPlayer		C01 = If Idle Turn Anim Greater Than This, Cannot be interrupted // C02 = If Idle Turn Anim Between This and C01, Can be interrupted		130.000000	45.000000																				
GrassGuard_TailSwipe	250.000000	C11 = AITree MinRange // C12 = AITree MaxRange // C13 = Max Angle To Start Attack // C14 = Desired Body Angle	15.000000	4.000000										1300.000000	4000.000000	40.000000	180.000000					0.850000	5.000000	100.000000	4400.000000
GrassGuard_DoubleSwipe		C10 = MinCooldown // C11 = AITree MinRange // C12 = AITree MaxRange // C13 = Max Angle To Start Attack // C14 = Desired Body Angle											3.000000	1300.000000	4000.000000	40.000000	180.000000								
GrassGuard_BallLeap		C10 = MinCooldown // C11 = AITree MinRange // C12 = AITree MaxRange	5.000000	4.000000									3.000000	1500.000000	5000.000000								4.000000		550.000000
GrassGuard_BallLeap_LandingImpact	360.000000																					1.200000		600.000000	1000.000000
GrassGuard_TailGrab		C01 = Damage Capsule Forward Position Offset // C10 = MinCooldown // C11 = AITree MinRange // C12 = AITree MaxRange // C13 = MaxAngleToStartAttack // C14 = Desired Body Angle		-800.000000									3.000000	1700.000000	4000.000000	60.000000	180.000000					0.100000		1200.000000	200.000000
GrassGuard_TailGrab_ControlMove		Cooldown = InRangeA // Duration = InRangeB // C01 = SpeedA // C02 = SpeedB // C03 = DurationA // C04 = DurationB // C05 = AngleA // C06 = AngleB		1.000000	3000.000000	2.000000	2.000000	30.000000	45.000000														5000.000000		
GrassGuard_TailGrab_TornadoCombo	360.000000	Cooldown = DamageInterval // Duration = DoT Duration //	0.100000																			1.400000	0.500000	3000.000000	1200.000000
