row_name	description	description 2	description 3	modifier 1	modifier 2	modifier 3	skill name
Terminal_Skill	Cooldown	Duration	Special Action Cooldown	55.000000	22.000000	3.000000	H.A.L.O. Terminal
Terminal_Refund	Cooldown Refund			0.750000			
Terminal_Damage	Scalar	Interval	Radius	0.250000	2.000000	1024.000000	
Terminal_Overshield	Scalar	Interval		0.250000	2.000000		
Cap_UltraviolentRadiation	Wait Time	Damage Scalar	Radius	3.000000	0.400000	256.000000	Ultraviolent Radiation
Cap_UltraviolentRadiation_Skill	Cooldown Override	Duration Override	Skill Damage	60.000000	25.000000	0.100000	
Cap_SunSpots	Weapon Damage	Fire Rate	Reload Speed	0.250000	0.100000	-0.100000	Sun Spots
Cap_SunSpots_Skill	Max Stacks	Duration Rate		100.000000	0.250000		
Cap_SunSpots_Rates	Cooldown Override	Duration Override		32.000000	28.000000		
Cap_SunSpots_Sizes	Radius	Large Radius		384.000000	512.000000		
Cap_SunSpots_GPS	Min Distance	Max Distance	Max Angle	200.000000	250.000000	35.000000	
Cap_PotentialTransference	Damage Scalar	Radius	Charges	0.800000	1280.000000	3.000000	Potential Transfernce
Cap_PotentialTransference_Skill	Cooldown Override	Duration Overide	Heal Scalar	52.000000	22.000000	0.330000	
Aug_Corona	Elemental Resistance	Elemental Chain	Elemental Charge	1.000000	1.000000	1.000000	Corona
Aug_HeatTransfer	Scalar per Object			0.100000			Heat Transfer
Aug_Irradiance	Cryo Damage	Rad Damage	Duration	0.250000	0.250000	12.000000	Irradiance
Aug_CoronalLoop	Damage Reduction	Duration Rate	Move Speed	0.070000	0.070000	0.050000	Coronal Loop
Aug_RedGiant	Radius	Radius UI (Fake)	Hazard Damage	1536.000000	0.500000	0.030000	Red Giant
Aug_RedGiant_Extra	Hazard Duration			5.000000			
