row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
Basic		20.000000	30.000000	20.000000
Assault		15.000000	15.000000	15.000000
Bomber		15.000000	15.000000	15.000000
Disintegrator		15.000000	15.000000	15.000000
Carrier		15.000000	15.000000	15.000000
Badass		20.000000	20.000000	20.000000
Tank		12.000000	12.000000	12.000000
ProjMissile		0.010000	0.010000	0.010000
Sentinel		10.000000	10.000000	10.000000
PlotGrass2a_Boss_MeatPlant		20.000000	30.000000	15.000000
PlotGrass2a_Boss_MeatPlantTRUE	2.000000	40.000000	60.000000	30.000000
