row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
BossAdd	0.100000	0.250000	0.250000	0.250000
Basic		1.750000	1.500000	1.500000
Small			0.750000	0.750000
Pistol		1.500000	1.500000	1.500000
Shotgun		1.750000	1.500000	1.500000
SMG		1.750000	1.500000	1.500000
Assault		1.750000	1.500000	1.500000
Sniper		2.000000	1.500000	1.500000
Loot		12.000000	6.000000	10.000000
Corrupt	2.000000	8.000000	1.200000	1.750000
Rider		1.500000	1.500000	1.500000
RiderBadass		5.000000	2.000000	2.000000
Badass	1.500000	5.000000	2.000000	2.000000
Heavy	1.500000	6.000000	2.000000	2.000000
