row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
PlotShatter2a_BackDoorGuard		10.000000	5.000000	
PlotShatter3_MudMouth		12.000000	8.000000	6.000000
SideMount_PEW		8.000000	8.000000	
SideMount_PEW2		8.000000	8.000000	
SideMount_PEW_TheSmaller		0.500000	0.500000	0.300000
MicroShatter_HerOwnFuneral		10.000000	5.000000	5.000000
CannonMasters	2.000000	10.000000	8.000000	
ScrapyardLeaders		10.000000	5.000000	4.000000
MeatheadRiderAdd	0.100000	0.250000	0.250000	0.250000
MeatheadRiderAddTRUE	0.200000	0.500000	0.500000	0.500000
MeatheadRiderBoss		10.000000	8.000000	8.000000
MeatheadRiderBossTRUE	2.000000	20.000000	16.000000	16.000000
Ripsaw		10.000000	8.000000	8.000000
RipsawTRUE	2.000000	15.000000	15.000000	15.000000
