row_name	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
SkaHead	8.000000	8.000000	8.000000
BombSplice	75.000000	75.000000	5.000000
BombSpliceReplay	100.000000	100.000000	100.000000
BombSpliceReplayTRUE	200.000000	200.000000	200.000000
BlasphemerGatekeeper	8.000000	8.000000	8.000000
BlasphemerBoss	120.000000	80.000000	80.000000
BlasphemerBossReplay	175.000000	160.000000	160.000000
BlasphemerBossTRUE	350.000000	320.000000	320.000000
SkaHeadSpotLights			
SkankEyes	75.000000	75.000000	5.000000
SkankEyesReplay	100.000000	100.000000	100.000000
SkankEyesReplayTRUE	200.000000	200.000000	200.000000
SkankEyesSpotLights	8.000000	8.000000	8.000000
MaxxxSupreme	120.000000	80.000000	80.000000
MaxxxSupremeReplay	175.000000	160.000000	160.000000
MaxxxSupremeReplayTRUE	350.000000	320.000000	320.000000
