row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
Basic	0.330000	2.000000	2.000000	2.000000
Basic4Arm	0.500000	4.000000	2.000000	2.000000
Small	0.330000	1.500000	1.500000	1.500000
Suicide	0.330000	2.250000	1.200000	1.200000
SuicideBomb	0.330000	0.100000	0.100000	0.100000
Firebrand	0.330000	2.500000	2.000000	2.000000
Slugger	0.500000	2.500000	2.000000	2.000000
Badass	0.660000	4.500000	2.500000	2.500000
Badass4Arm	0.660000	4.500000	2.500000	2.500000
Loot		2.000000	6.000000	
Corrupt	0.660000	9.000000	2.500000	
BossAdd	0.100000	0.750000	0.500000	0.500000
