row_name	comment	level_01	level_02	level_03	level_04	level_05	level_06	level_07	level_08	level_09	level_10	level_11	level_12	level_13	level_14	level_15	level_16
Health	Global: Scale Add bonus to calc_vehicle_health in terms of percent of base health. Only the first five ranks are used here -- or as many hover drive ranks as we have -- as all hover drives of the same rank scale health evenly. No manufacturer favors health bonuses.		0.375000	0.750000	1.125000	1.500000	1.500000	1.500000	1.500000	1.500000	1.500000	1.500000	1.500000	1.500000	1.500000	1.500000	1.500000
HealthRegenRate	Global: Post Add bonus to regen rate, as a multiplier relative to max health.	0.166667	0.198201	0.235702	0.280299	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333	0.333333
HealthRegenDelay	Global: Post Add bonus to regen delay in seconds.	6.000000	5.045378	4.242641	3.567621	3.000000	3.000000	3.000000	3.000000	3.000000	3.000000	3.000000	3.000000	3.000000	3.000000	3.000000	3.000000
MaxSpeed	Speed: Post Add bonus to normal forward speed in miles per hour.		1.319405	2.673626	4.063583	5.490218	6.954499	8.457420	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000
MaxSpeed_Boosting	Speed: Post Add bonus to boosting forward speed in miles per hour.		1.342469	2.712664	4.111159	5.538537	6.995395	8.482342	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000
MaxSpeed_Strafe	Speed: Post Add bonus to strafing speed, in miles per hour.		1.279401	2.605570	3.980216	5.405112	6.882093	8.413065	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000
MaxSpeed_Reverse	Speed: Post Add bonus to speed when driving in reverse, in miles per hour.		1.231036	2.522690	3.877947	5.299938	6.791951	8.357432	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000	10.000000
MaxAccel	Accel: Post Add bonus to boosting acceleration in cm/s^2.		87.595747	182.864509	286.478410	399.168448	521.729653	655.026700	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
MaxAccel_Boosting	Handling: Post Add bonus to braking power while boosting, in cm/s^2.		124.907416	262.816385	415.080231	583.193147	768.804854	973.736794	1200.000000	1200.000000	1200.000000	1200.000000	1200.000000	1200.000000	1200.000000	1200.000000	1200.000000
MaxBrakes	Handling: Post Add bonus to braking power in cm/s^2.		110.519578	235.409247	376.537449	536.015569	716.229517	919.875429	1150.000000	1150.000000	1150.000000	1150.000000	1150.000000	1150.000000	1150.000000	1150.000000	1150.000000
MaxBrakes_Boosting	Handling: Post Add bonus to braking power while boosting, in cm/s^2.		166.530418	355.246739	569.104667	811.453675	1086.089468	1397.313431	1750.000000	1750.000000	1750.000000	1750.000000	1750.000000	1750.000000	1750.000000	1750.000000	1750.000000
AccelCurveIdx	Accel: Post Add bonus to the index that selects among acceleration curves in PV_Base. These curves are a scalar on total acceleration power versus current speed relative to maximum. Non-integer values are valid and will blend between the nearest curves.		0.285714	0.571429	0.857143	1.142857	1.428571	1.714286	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000
AccelCurveIdx_Boosting	Accel: Post Add bonus to the index that selects among boosting acceleration curves in PV_Base.		0.285714	0.571429	0.857143	1.142857	1.428571	1.714286	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000
AirControl	Boost: Post Add bonus to air control, as a percent in the range [0,1].		0.052045	0.109507	0.172950	0.242997	0.320335	0.405724	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000
AirBrakes	Boost: Post Add bonus to braking while airborne, as a percent in the range [0,1].		0.008171	0.019680	0.035891	0.058725	0.090887	0.136190	0.200000	0.200000	0.200000	0.200000	0.200000	0.200000	0.200000	0.200000	0.200000
FuelCost_Boost	Boost: Scale Add bonus to the cost of fuel consumption while boosting.		-0.104090	-0.219014	-0.345900	-0.485994	-0.640671	-0.811447	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000
InclineCurveIdx	Handling: Post Add bonus to the index that selects among incline angle curves in PV_Base. These curves as a scalar on total acceleration power relative to the current incline angle in degrees.		0.285714	0.571429	0.857143	1.142857	1.428571	1.714286	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000
InclineCurveIdx_Boosting	Handling: Post Add bonus to the index that selects among incline angle curves, while boosting.		0.285714	0.571429	0.857143	1.142857	1.428571	1.714286	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000
SpringIdx	Handling: Post Add bonus to the index that selects among spring systems. Springs govern the vehicle's tendency to face in the direction of the camera as well as it uprighting when overturned.		0.285714	0.571429	0.857143	1.142857	1.428571	1.714286	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000	2.000000
Powerslide_BoostSlideTime	Boost: Post Add bonus to the sliding time required to reach each boost level. Tentatively applied 2x and 3x for consecutive levels.		-0.082128	-0.160402	-0.235003	-0.306103	-0.373866	-0.438448	-0.500000	-0.500000	-0.500000	-0.500000	-0.500000	-0.500000	-0.500000	-0.500000	-0.500000
Powerslide_BoostDuration	Boost: Post Add bonus to the outgoing boost time. Tentatively applied 2x and 3x for consecutive levels.		0.063970	0.130279	0.199011	0.270256	0.344105	0.420653	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000
