row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
CQC		2.000000	2.000000	2.000000
Pistol		0.750000	0.750000	
SMG				
Shotgun		1.500000	1.500000	1.500000
Assault	1.200000	1.500000	1.500000	1.500000
Sniper	1.200000	1.500000	1.500000	
Heavy		3.000000	2.000000	3.000000
Captain	2.000000	4.000000	4.000000	3.000000
BossAdd	0.100000	0.250000	0.250000	0.250000
Loot		10.000000	5.000000	5.000000
Corrupt	2.000000	10.000000	3.000000	1.500000
AnntenaTower		2.000000	6.000000	
