row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
Mini	0.500000	0.500000	0.500000	0.500000
Basic	0.750000			
Blaster		3.000000	3.000000	3.000000
Slammer	1.200000	4.000000	4.000000	4.000000
Roller	1.200000	7.000000	7.000000	7.000000
Badass	1.200000	10.000000	10.000000	10.000000
Eridium		6.000000	6.000000	6.000000
Loot		15.000000	10.000000	10.000000
KraggonBossAdd	0.100000	0.700000	0.500000	0.500000
KraggonMiniBossAdd	0.100000	0.250000	0.250000	0.250000
