row_name	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
Boss_DigiZane_Phase1	50.000000	50.000000	50.000000
Boss_DigiZane_Phase1TRUE	100.000000	100.000000	100.000000
Boss_DigiZane_Phase2	120.000000	80.000000	55.000000
Boss_DigiZane_Phase2TRUE	240.000000	160.000000	110.000000
Boss_DigiZane_Phase3	60.000000	60.000000	60.000000
Boss_DigiZane_Phase3TRUE	120.000000	120.000000	120.000000
Boss_DigiZane_DroneDefensive	55.000000	0.000000	0.000000
Boss_DigiZane_DroneDefensiveTRUE	90.000000	0.000000	0.000000
Boss_DigiZane_SpliceBuddy	55.000000	0.000000	0.000000
Boss_DigiZane_SpliceBuddyTRUE	90.000000	0.000000	0.000000
Boss_DigiZane_CloneAdd	4.000000	0.000000	0.000000
Boss_DigiZane_CloneAdd_Phase2	4.000000	0.000000	0.000000
Proj_DigiZaneBoss_ExplodingOrb			
Proj_DigiZane_ShieldBarrierEyes	13.000000	13.000000	13.000000
Striker_Fixer_MiniBoss	50.000000	50.000000	50.000000
Striker_Fixer_MiniBossTRUE	100.000000	100.000000	100.000000
Striker_Cleaner_MiniBoss	50.000000	50.000000	50.000000
Striker_Cleaner_MiniBossTRUE	100.000000	100.000000	100.000000
Unique_ZaneClone_BladeDiaz	15.000000	15.000000	15.000000
Unique_ZaneClone_BrunoHawk	15.000000	15.000000	15.000000
Striker_Fixer_MiniBoss_Tower	5.000000	5.000000	5.000000
Boss_BruteSlaughter	65.000000	55.000000	45.000000
Boss_BruteSlaughter_Mission	45.000000	35.000000	25.000000
