row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
DungeonIntro	0.500000	5.000000		
FrackingMeathead	0.500000	25.000000	25.000000	12.000000
FrackingMeatheadTRUE		50.000000	50.000000	24.000000
MeatheadRiderBoss	0.500000	40.000000	35.000000	12.000000
MeatheadRiderBossTRUE		80.000000	70.000000	24.000000
MiniMeatheadRider	0.100000	2.000000	2.000000	2.000000
MiniMeatheadRiderTRUE	0.200000	4.000000	4.000000	4.000000
TurretPlatform	0.500000	40.000000	35.000000	15.000000
TurretPlatformTRUE		80.000000	70.000000	30.000000
SingularityMeathead	0.500000	40.000000	35.000000	15.000000
SingularityMeatheadTRUE		80.000000	70.000000	30.000000
PlotShat2a_Boss_Drillerhole	0.500000	40.000000	35.000000	15.000000
PlotShat2a_Boss_DrillerholeTRUE		80.000000	70.000000	30.000000
Drill_Boss_DumpsterDiver		14.000000	14.000000	14.000000
Drill_Boss_DumpsterDiverTRUE	2.000000	28.000000	28.000000	28.000000
FreezeRay	0.330000	30.000000	40.000000	18.000000
FreezeRayTRUE	0.660000	60.000000	80.000000	36.000000
MeatSplice	0.330000	30.000000	30.000000	25.000000
MeatSpliceTRUE	0.660000	60.000000	60.000000	50.000000
Decomishinor	0.330000	8.000000	8.000000	8.000000
DecomishinorTRUE	0.660000	16.000000	16.000000	16.000000
TheBouncer	0.330000	8.000000		
Numba1	0.330000	8.000000	8.000000	
MeatheadSinger	0.330000	8.000000	8.000000	
MeatheadAirship	0.330000	6.000000	15.000000	
