row_name	large	medium	percentageofnextlevel	small	verylarge	verysmall
Main_Experience	1000.000000	800.000000	0.200000	600.000000	1200.000000	400.000000
Main_Cash	3750.000000	3000.000000		2250.000000	5000.000000	1500.000000
Main_Eridium	12.000000	9.000000		6.000000	15.000000	3.000000
Side_Experience	500.000000	400.000000	0.160000	300.000000	600.000000	200.000000
Side_Cash	2500.000000	2000.000000		1500.000000	3000.000000	1000.000000
Side_Eridium	8.000000	5.000000		4.000000	10.000000	2.000000
Micro_Experience	300.000000	250.000000	0.100000	200.000000	350.000000	150.000000
Micro_Cash	1250.000000	1000.000000		750.000000	1500.000000	500.000000
Micro_Eridium	4.000000	3.000000		2.000000	5.000000	1.000000
Bobblehead_Experience	0.000000	0.000000	0.050000	0.000000	0.000000	100.000000
WildCard_Cash	24000.000000	18000.000000		12000.000000	40000.000000	6000.000000
WildCard_Eridium	50.000000	40.000000		30.000000	75.000000	20.000000
