row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
CraneOperator	1.200000	12.000000	8.000000	2.000000
Creepy	1.200000	75.000000	8.000000	4.000000
CreepyTRUE	1.200000	150.000000	16.000000	8.000000
CreepyFlower		0.300000	0.300000	0.300000
CreepyBloodFlower		0.800000	0.800000	0.800000
Dooly		12.000000	4.000000	4.000000
Fishhead		12.000000	8.000000	6.000000
Fishhead_Batfish		2.000000	2.000000	2.000000
Gardener		12.000000	8.000000	4.000000
HoleyMoley		12.000000	8.000000	4.000000
Revolution		12.000000	8.000000	5.000000
Ripped		12.000000	8.000000	4.000000
Singer		12.000000	8.000000	
TownCap		12.000000	8.000000	4.000000
Drill_Boss_DumpsterDiver		14.000000	14.000000	14.000000
Drill_Boss_DumpsterDiverTRUE	2.000000	28.000000	28.000000	28.000000
Wreck	1.200000	12.000000	8.000000	5.000000
