row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
PlotGrass1_Boss_SplashZone	0.660000	15.000000	3.000000	3.000000
PlotGrass1_Boss_SplashZoneTRUE	1.330000	50.000000	8.000000	8.000000
PlotMount2b_Boss_FirstCorrupt	0.660000	40.000000	5.000000	2.000000
PlotMount2b_Boss_FirstCorruptTRUE	1.320000	80.000000	10.000000	4.000000
SideCity_CorruptTED	0.660000	10.000000	2.000000	
SideCity_CorruptTED_Runnable	0.660000	30.000000	2.000000	
SideCity_CorruptTED_TRUE	1.330000	60.000000	4.000000	2.000000
DungeonIntro		12.000000	4.000000	4.000000
FrackingLieutenant	0.500000	15.000000	15.000000	10.000000
FrackingLieutenantTRUE		30.000000	30.000000	20.000000
DrillBounty		12.000000	4.000000	4.000000
CattieKatson	0.330000	8.000000	5.000000	5.000000
DrunkPsycho	0.330000	8.000000	4.000000	4.000000
HovercartRider	0.750000	20.000000	15.000000	8.000000
HovercartRiderTRUE	1.500000	40.000000	30.000000	12.000000
RoboPsycho	0.500000	35.000000	40.000000	12.000000
RoboPsychoTRUE		70.000000	80.000000	20.000000
2HeadPsychoBody	0.660000	40.000000	35.000000	20.000000
2HeadPsychoBodyTRUE	1.320000	80.000000	70.000000	30.000000
2HeadPsycho				
2HeadPsychoTRUE	2.000000	2.000000	2.000000	2.000000
GeigerPsycho	0.500000	75.000000	45.000000	45.000000
GeigerPsychoTRUE		150.000000	90.000000	90.000000
TeamMissile		8.000000	8.000000	
Quent	0.330000			
Scrapvenger	0.660000	8.000000	4.000000	4.000000
PsychoKratchman	1.200000	8.000000	4.000000	4.000000
Zanzibart	0.330000	8.000000	4.000000	4.000000
PsychoSinger		8.000000	5.000000	5.000000
DigiPsycho	0.500000	40.000000	35.000000	15.000000
DigiPsychoTRUE		80.000000	70.000000	30.000000
Drill_Boss_DumpsterDiver		10.000000	8.000000	8.000000
Drill_Boss_DumpsterDiverTRUE	2.000000	12.000000	12.000000	12.000000
