row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
Keeper	2.000000	25.000000	25.000000	25.000000
Eyeball	2.000000	50.000000	50.000000	50.000000
LeaderBossRaid2	2.000000	275.000000	100.000000	100.000000
LeaderBossRaid2_TRUE	3.000000	600.000000	200.000000	200.000000
BigBoss	2.000000	400.000000	200.000000	200.000000
BigBoss_TRUE	3.000000	800.000000	400.000000	400.000000
StrikerShield	2.000000	50.000000	50.000000	50.000000
StrikerShield_Shield	2.000000	15.000000	15.000000	15.000000
Sentinel	1.500000	100.000000	100.000000	100.000000
ColossalUberLeader	2.000000	600.000000	600.000000	600.000000
ColossalUberLeader_TRUE	3.000000	1200.000000	1200.000000	1200.000000
UberLeaderHead	2.000000	60.000000	60.000000	60.000000
LeaderBossUberRaid2	2.000000	400.000000	400.000000	400.000000
LeaderBossUberRaid2_TRUE	3.000000	800.000000	800.000000	800.000000
BruteBadass	2.000000	120.000000	120.000000	120.000000
UberBigBoss	2.000000	1000.000000	100.000000	100.000000
UberBigBoss_TRUE	3.000000	2000.000000	200.000000	200.000000
LeaderFallen		25.000000	25.000000	25.000000
StrikerFire		50.000000	50.000000	50.000000
SoliderBlighted	2.000000	100.000000	100.000000	100.000000
Sniper	1.500000	30.000000	30.000000	30.000000
PortalBombs				
UberSoldier	0.400000	25.000000	25.000000	25.000000
