row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
HeavySplice		30.000000	30.000000	12.000000
HeavySpliceTRUE	2.000000	60.000000	60.000000	12.000000
AirRaider		30.000000	30.000000	12.000000
AirRaiderTRUE	2.000000	60.000000	60.000000	24.000000
ShieldHelo		2.000000	2.000000	2.000000
BomberHelo	0.250000	1.500000	1.500000	1.500000
GunnerHelo	0.150000	1.500000	1.500000	1.500000
Plugginator		35.000000	35.000000	35.000000
Botpopper		35.000000	35.000000	35.000000
Bot	0.500000	1.500000	1.500000	1.500000
Pop		3.000000	3.000000	3.000000
ScrapFusRo		35.000000	35.000000	35.000000
BoneBoogy		35.000000	35.000000	35.000000
