row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
ShatterBoss_Fortress	1.200000	57.500000	57.500000	0.000000
ShatterBoss_Fortress_TRUE	2.400000	115.000000	115.000000	0.000000
ShatterBoss_Elpis	1.200000	57.500000	57.500000	0.000000
ShatterBoss_Elpis_TRUE	2.400000	115.000000	115.000000	0.000000
ScreamingMissile	60.000000			
RippersEgg	30.000000	10.000000	10.000000	10.000000
WeakPoint_Left				
BoomBoomDrone		3.000000		
Psycho_Basic	0.330000	2.000000	2.000000	2.000000
Psycho_Basic4Arm	0.500000	4.000000	2.000000	2.000000
Psycho_Badass	0.660000	6.000000	3.000000	3.000000
Psycho_Badass4Arm	0.660000	6.000000	3.000000	3.000000
Psycho_Suicide	0.330000	2.250000	1.200000	1.200000
Psycho_Firebrand	0.330000	2.500000	2.000000	2.000000
Psycho_Slugger	0.500000	2.500000	2.000000	2.000000
GunToter_Pistol		1.500000	1.500000	1.500000
GunToter_SMG		1.750000	1.500000	1.500000
GunToter_Shotgun		1.750000	1.500000	1.500000
GunToter_Assault		1.750000	1.500000	1.500000
GunToter_Heavy	1.500000	7.000000	2.500000	2.500000
GunToter_Sniper		2.000000	1.500000	1.500000
