row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
Drill_Boss_SpiderJumbo		20.000000	25.000000	30.000000
Drill_Boss_SpiderJumboTRUE		40.000000	50.000000	60.000000
FrackingSplice	0.500000	15.000000	15.000000	10.000000
FrackingSpliceTRUE		30.000000	30.000000	20.000000
SpliceArm	1.500000	20.000000	8.000000	8.000000
SpliceArmTRUE	3.000000	40.000000	16.000000	16.000000
SpliceBarrel		3.000000		
SpliceLifeCoach	1.250000	10.000000	5.000000	
SpliceLifeCoachAssist		8.000000	4.000000	
SpliceHovercart		30.000000	8.000000	8.000000
SpliceHovercartTRUE	2.000000	60.000000	12.000000	12.000000
SpliceHunter		10.000000	10.000000	
SpiderMana		20.000000	20.000000	20.000000
SpiderManaTRUE		30.000000	30.000000	30.000000
SpiderManaTorso		35.000000	20.000000	20.000000
SpiderManaTorsoTRUE		70.000000	30.000000	30.000000
SpiderShatterBoss	0.100000	1.500000	0.750000	0.750000
SpliceTurret	0.750000	0.750000		
Drill_Boss_DumpsterDiver		10.000000	10.000000	10.000000
Drill_Boss_DumpsterDiverTRUE	2.000000	20.000000	20.000000	20.000000
Ripsaw		45.000000	30.000000	12.000000
RipsawTRUE	2.000000	90.000000	60.000000	24.000000
VendingSplice		30.000000	16.000000	16.000000
