row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
Proto	0.100000	0.100000	0.100000	0.100000
Antenna		15.000000	15.000000	15.000000
Basic		15.000000	15.000000	15.000000
Artillery		18.000000	18.000000	18.000000
Badass		20.000000	20.000000	20.000000
SpaManager		30.000000	30.000000	15.000000
SpaManager_Replay		35.000000	35.000000	20.000000
SpaManager_ReplayTRUE		70.000000	70.000000	40.000000
LogiManager		25.000000	25.000000	20.000000
LogiManager_Replay		35.000000	35.000000	40.000000
LogiManager_ReplayTRUE		70.000000	70.000000	40.000000
Logi_FakeOut		4.000000	4.000000	4.000000
LogiManager_Shield		6.000000	6.000000	6.000000
