row_name	damagemultiplier_levelbased	healthmultiplier_01	healthmultiplier_02	healthmultiplier_03
Young	0.400000			
Adult	0.600000	2.000000	2.000000	2.000000
Puller	0.800000	4.000000	2.000000	2.000000
Tremor		6.000000	2.000000	2.000000
Worm	1.200000	8.000000	3.000000	3.000000
Badass	2.000000	12.000000	3.000000	3.000000
Corrupt	2.000000	15.000000		
Loot	2.000000	10.000000	5.000000	5.000000
Flying		2.000000		
FlyingBadass	2.000000	8.000000	3.000000	3.000000
Tentacle	2.000000	2.000000		
Egg	2.000000	0.050000		
BossAdd	0.300000	1.500000	1.500000	1.500000
