row_name	comment	custom_01	custom_02	custom_03	custom_04	custom_05	custom_06	custom_07	custom_17	custom_18	dmgmultiplier
HackSlow	C01 = Slow Duration // C02 = Total Debuff Duration (VFX)	0.500000	2.500000								
HackDoT	CURRENTLY UNUSED /// C01 = Hack DoT Duration // C02 = Damage Interval	0.500000	0.250000								0.050000
Spawn_Boss	C01 = Initial Loading Duration // C02 = Initial Loading Radius // C03 = OnInitialLoadingDone Delay Before Attack	4.500000	1000.000000	1.500000							
Spawn_Glider	C01 = Initial Loading Duration // C02 = Initial Loading Radius	2.500000	200.000000								
Spawn_GiantGun	C01 = Initial Loading Duration // C02 = Initial Loading Radius	3.750000	500.000000								
Spawn_GunBarrage	C01 = Initial Loading Duration // C02 = Initial Loading Radius	1.500000	500.000000								
DigiDash	C01 = DigiDash Travel Speed Phase1 // C02 = DigiDash Travel Speed Phase2	12000.000000	16000.000000								
LightningStrike	C01 = Delay Before Damage // C02 = Damage Radius // C03 = Damage Height	1.000000	200.000000	4000.000000							
VertJumpLandAOE	C01 = Damage Radius	700.000000									
HeelSlam	C01 = Damage Radius	600.000000									
Divekick	C01 = Impact Damage Radius	700.000000									
BlinkCharge	C01 = Damage Radius	600.000000									
Teleport_Phase1_In	C01 = Damage Radius	600.000000									
GroundAssault_3	C01 = Damage Radius	600.000000									
SpiralDash_Impact	C01 = Impact Dmg Radius	600.000000									
DigiDash_End_Phase1	C01 = End Damage Radius	600.000000									
BouncingGrenade	C01 = Explosion Radius // C02 = Throw Forward Offset // C03 = Throw Speed // C04 = Throw Angle Percent	700.000000	1200.000000	3000.000000	0.100000						
LightningPuddle	C01 = Puddle Damage Radius // C02 = Puddle Radius (double of damage) // C03 = Spawn Time	400.000000	800.000000	1.000000							
AerialLightningBall	C01 = Projectile Explosion VFX Radius	300.000000									
SwordSlam	C01 = Damage Radius	700.000000									
TeleportGlyphPh1	C01 = VFX Radius	500.000000									
NavRun_Ph1	C01 = CanStartIfFurtherThan // C02 = CanContinueIfFutherThan	2000.000000	700.000000								
NavWalk_Ph1	C01 = CanStartIfFurtherThan // C02 = CanContinueIfFutherThan	1500.000000	990.000000								
LavaPillar	C01 = Manual Long Pillar Active Duration // C02 = Anticipation Time Vertical Pillars // C03 = Short IO Pillar Fadeout Duration // C04 = Long IO Pillar Fadeout Duration // C05 = Projectile Pillars Fadeout Duration // C06 = Targeted Pillar Anticipation Time // C07 = Non-Targeted Pillar Anticipation Time	10.000000	2.000000	1.000000	1.000000	0.500000	2.500000	1.500000			
SwordAOE	C01 = Damage Radius	800.000000									
FlyingCharge_1stHit	C01 = Impact Dmg Radius	600.000000									
SwordStab	C01 = Impact Damage Radius // C02 = Lingering Damage Radius // C03 = Release Damage Radius	600.000000	800.000000	4500.000000							
GiantGun	C01 = Explosion Damage Radius	1000.000000									
GiantGun_Projectile	C01 = Damage Explosion Radius	600.000000									
GunBarrage_ImpactMoment	C01 = Landing Damage Radius // C02 = Radius for GroundBalls position	2100.000000	800.000000								
GunBarrage_Projectile	C01 = Damage Explosion Radius // C02 = Max offset from selected target loc	325.000000	100.000000								
LavaPillar_Manual	C01 = Manual Lava Pillar Active Duration	6.000000									
LavaPillar_Short	C01 = Rift FadeIn Duration // C02 = Delay Rift and Lava // C03 = Lava Anticipation Time // C04 = Pillar Fadeout Duration // C05 = Rift Fadeout Duration // C06 = Short Lava Pillars Rift VFX Radius	1.000000	0.500000	1.000000	0.500000	1.250000	100.000000				
LavaPillar_OutsideArena	C01 = Lava Anticipation Time // C02 = Pillar FadeIn Duration (float of 2 means 0.5 second, float of 0.5 means 2 seconds, etc.) // C03 = Pillar FadeOut Duration // C04 = Active Duration	0.500000	3.000000	0.500000	22.000000						
LavaPillar_Projectile	C01 = Lava Anticipation Time // C02 = Pillar FadeIn Duration (float of 2 means 0.5 second, float of 0.5 means 2 seconds, etc.) // C03 = Pillar FadeOut Duration // C04 = Rift FadeIn Duration // C05 = Rift FadeOut Duration // C06 = Rotating/Moving Rifts Total Anticipation Time // C07 = Stationary Rifts Total Anticipation Time // C17 = Projectile Pillar Radius // C18 = Projectile Pillar Height	1.000000	3.000000	0.500000	1.000000	1.250000	1.500000	2.500000	75.000000	6000.000000	
VoiceOvers	Odds values is between 0-1, 1 being 100% /// C01 = Odds of Boss Dialog Event Triggering (should now remain at 1)  // C02 = Odds of PlayerReact Dialog Event Triggering (should now remain at 1) // C03 = Odds of playing BossVO over PlayerReactVO // C04 = Odds of not playing impact VOs to allow PlayerHitVOs // NOTE: Update individually any VOs that should differ from these odds (ex: Deaths, PhaseTransition, etc.)	1.000000	1.000000	0.660000	0.400000						
GunBarrage_General	C01 = Boss Damage Reduction 1st Time Mission // C02 = Delay Between Homing and Travel // C03 = Boss Damage Reduction Non-1st Time Mission	0.500000	1.000000	0.700000							
DigiRifts_General	C01 = Max Angle Between Boss and Target to allow Rift aimed directly at target // C02 = Right Vector Distance Check Interrupt Loop	30.000000	1000.000000								
GroundAssault_1_Movement	C01 = Max Travel Distance // C02 = Overshoot Target Distance // C03 = Teleport Travel Speed	750.000000	-250.000000	11000.000000							
GroundAssault_2_Movement	C01 = Max Travel Distance // C02 = Overshoot Target Distance // C03 = Teleport Travel Speed	750.000000	-250.000000	11000.000000							
GroundAssault_3_Movement	C01 = Max Travel Distance // C02 = Overshoot Target Distance // C03 = Teleport Travel Speed	600.000000	-300.000000	11000.000000							
DigiDash_IO	C01 = Phase1 Damage Width // C02 = Phase2 Followup Damage Width // C03 = Phase2 End Damage Width	1200.000000	1200.000000	1200.000000							
GliderBasic	C01 = Scale Multiply Damage Caused	0.100000									
DigiDash_Followup_Phase2	C01 = Damage Cylinder Height // C02 = Damage Cylinder Radius	150.000000	800.000000								
DigiDash_End_Phase2	C01 = Damage Sphere Radius	800.000000									
