row_name	default	ted_homing	ted_javelin	ted_legs
default	NexusSerialized, 425517E649A203640B7210BFB12B1ED0, Hand	NexusSerialized, 4170C80B4D3E8FE45C78669124104657, Smart	NexusSerialized, 6EA4D8914A36089B670BDFB35E9A050D, Rocket	NexusSerialized, 35E2045F410DBFDC2B15AF9FC8B72B5A, Speed
ted_combo	NexusSerialized, 9977CC7E43B80C1D1EB582BCD1708E5A, Bright	NexusSerialized, 62F859874989C875F39B72935984460A, Overwhelmingly	NexusSerialized, 3276DF76461D95FAB044158B9BE5566C, Loudly	NexusSerialized, B063715B44E1799BC8865988A79D7682, Firmly
ted_mirv	NexusSerialized, C9F317CC450EA0BBD98FD0B9A49093DD, Swarm	NexusSerialized, 29664D654D2815C6B49B908F89E0DCD6, Hungrily	NexusSerialized, 4DB53ADF48AA88F74F4B3B8AE0137C20, Forcefully	NexusSerialized, 7130E59B4105D9652C9983963DFDF402, Fully
ted_shooting	NexusSerialized, 2BDDFEC945D0C0869D61A589277C3705, Spray	NexusSerialized, C2F362064458ECCDFB0B8DB161548BF5, Wildy	NexusSerialized, FEE0247C4450CB5A038984B004BC1382, Scatter	NexusSerialized, 6506464A44D675DFEEEB1E8BEB635228, Live
ted_shooting+ted_mirv	NexusSerialized, 85DFBA814F3E6EBC105F1982B35393E7, Flank	NexusSerialized, FA6F656D414D75550C6E0BA05CD90B5F, Vigilantly	NexusSerialized, 872ED6F842F74AE226F723B0C8F6A5CA, Solidly	NexusSerialized, 9C33E93944254CCCDB6A58AF91370D30, Squad
ted_shooting+ted_combo	NexusSerialized, E3F40108465DBC4E5BAB239B758BA5B0, Rush	NexusSerialized, C67511C848A1329E3FE4F49B1D7F137F, Rashly	NexusSerialized, A432D9D946CADCC186C27FB9A903252C, Robustly	NexusSerialized, CFAB5B5140D678F4994644B74BC690E4, Fiercely
ted_shooting+ted_replicator	NexusSerialized, 1D81E1D140D73C0C21925C8B36AD4E65, Evolve	NexusSerialized, 00E01E004E0A2666BFABC2B7E5008DA1, Rightly	NexusSerialized, 9247681C4179758AE10FB9B8C1B5486D, Firmly	NexusSerialized, 64CC9C2645439D86A37D579D84C83979, Honest
ted_mirv+ted_combo	NexusSerialized, 5A71FDF24ADF39639B4F8C925F74A50D, Fracture	NexusSerialized, 8928702B4DC5727CDC59D084B095394E, Hastily	NexusSerialized, D3F72EA94DB5D645F23BD28B19421FD5, Heartily	NexusSerialized, 73130F1245E6E26DF186C18185F9EE73, Urgent
ted_mirv+ted_replicator	NexusSerialized, 7C801EE1485345BF0509578B82CEA444, Split	NexusSerialized, 2D8A7FE44986F351F7718689515B3759, Foolishly	NexusSerialized, 3CF95C964D6F9E5C62CFB4892E8F61E9, Fully	NexusSerialized, DCFC4FFA40ADE00F5E17E8A11B5B2E80, Warily
ted_combo+ted_replicator	NexusSerialized, FC934B8C45925A888028D68B209449D9, Backup	NexusSerialized, E913CBA1445DF0A5D84F2EB64A1DC3B1, Madly	NexusSerialized, 60B14F1442FA6C8D8E16BC973564DE7A, Deeply	NexusSerialized, 5C2493C343E15944F1BC73B27757C53F, Truly
