row_name	comment	comment2	cooldown	custom	custom2	duration	potency	radius
-----Healing-----			0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
HealingPower			0.000000	0.000000	0.000000	0.000000	0.200000	0.000000
HealingRadius			0.000000	0.000000	0.000000	0.000000	0.000000	0.150000
ShieldRecharge	Passive shield regen %		0.000000	0.100000	0.000000	0.000000	0.000000	0.000000
LifeSteal	lifesteal %		0.100000	0.200000	0.000000	-0.050000	-1.000000	0.100000
IronSkin	Damage Taken Scale		0.100000	-1.000000	0.000000	0.200000	-0.100000	-0.100000
Thorns	Damage return %		0.000000	2.000000	0.000000	0.000000	0.000000	0.000000
Overshield	final healing scale		0.000000	2.000000	0.000000	0.000000	0.500000	0.000000
LeechSeed	healing scale per enemy	dmg scalar	0.000000	0.200000	0.000000	0.000000	0.000000	0.000000
-----Barrier-----			0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BarrierHealth	Barrier health scale		0.000000	0.200000	0.000000	0.000000	0.000000	0.000000
Dome			0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
BulletAmp	Amp Scalar		0.000000	1.500000	0.000000	0.000000	0.000000	0.000000
Reflection	reflect chance		0.000000	0.200000	0.000000	0.000000	0.000000	0.000000
SpeedGate	Movement Scale+		0.000000	0.750000	0.000000	0.000000	0.000000	0.000000
ScopesUp	Accuracy/Handling Scalar	CritDamageScalar	0.000000	-0.500000	0.500000	0.000000	0.000000	0.000000
BarredAggression	Damage Scalar		0.000000	0.500000	0.000000	0.000000	0.000000	0.000000
ElementalField	Damage Scalar+		0.000000	0.250000	0.000000	0.000000	0.000000	0.000000
-----Combat-----			0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
CombatPower			0.000000	0.000000	0.000000	0.000000	0.200000	0.000000
CombatRadius			0.000000	0.000000	0.000000	0.000000	0.000000	0.150000
KillClip	MagFill % on kill		0.000000	0.500000	0.000000	0.000000	0.000000	0.000000
ToTheNth	Free shot every X shots	Amp dmg on free shot	0.000000	3.000000	0.500000	0.000000	0.000000	0.000000
ColdShoulder	Enemy Speed Scalar		0.000000	-2.000000	0.000000	0.000000	0.000000	0.000000
Reverb	Ground Pound Dmg Scalar		0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
Orbiting			0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Contamination	ElementalPower	EnemyDamageTakenScalar	0.000000	0.200000	0.200000	0.000000	0.000000	0.000000
