row_name	comment	cooldown	custom	duration	potency	radius
--health--		0.000000	0.000000	0.000000	0.000000	0.000000
Maliwan	Elemental Damage Taken Scale	0.000000	-0.100000	0.000000	0.100000	-0.200000
Order	+Duration	0.000000	0.000000	0.200000	0.000000	0.000000
--barrier--		0.000000	0.000000	0.000000	0.000000	0.000000
Vladof	+Barrier Health	0.000000	0.000000	0.000000	0.200000	-0.100000
Tediore	+Duration	0.100000	0.000000	0.200000	0.250000	0.000000
Borg	+Cooldown	-0.400000	0.000000	-0.400000	-0.200000	0.000000
--combat--		0.000000	0.000000	0.000000	0.000000	0.000000
Daedalus	+Duration	0.000000	0.000000	0.200000	0.000000	0.000000
Torgue	Terminal Explodes on end, +Radius	0.000000	1.000000	0.000000	0.000000	0.200000
Jakobs	Crit Damage	0.000000	0.100000	0.000000	0.200000	-0.500000
