row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	critdamage_add	damage_scale	damageradius_value	firerate_value	impact_force_value	part_value	recoil_scale	spread_value	sway_scale
VLA_WomboCombo		0.350000	-4.000000	3.500000		1.300000		12.000000	16000.000000	2		2.500000	
DAD_Lumberjack		0.270000	-5.500000	3.800000		3.400000		4.000000	16000.000000	2		2.000000	
TOR_Bugbear		0.300000	-5.000000	3.750000		2.520000	50.000000	5.500000	16000.000000	2		2.500000	
ORD_Goalkeeper		0.550000	-6.000000	4.000000		4.000000		7.000000	16000.000000	2		1.100000	
JAK_BonnieClyde	0.250000	0.700000		6.500000		5.040000		6.250000	16000.000000	1	0.750000	2.000000	
VLA_Lucian		0.350000	-4.000000	3.500000		1.450000		11.500000	16000.000000	1	0.800000	2.750000	1.200000
JAK_Rowan	0.200000	0.750000	-10.000000	5.500000		3.400000		6.000000	16000.000000	2	0.300000	2.000000	
VLA_DualDamage		0.350000	-4.000000	3.500000		1.350000		12.500000	16000.000000	1		2.750000	1.200000
TED_Chuck	0.400000	0.300000	-8.500000	4.500000		2.200000		3.400000	16000.000000	2		2.750000	
DAD_StarHelix		0.100000		3.600000		2.000000		4.650000	16000.000000	2		3.000000	
TOR_PotatoThrower		0.500000		4.000000		1.300000	135.000000	5.500000	45000.000000	1		2.500000	
ORD_GMR		1.500000	-6.000000	3.500000		4.500000		4.000000	16000.000000	1	0.600000	1.750000	
DAD_OM		0.320000		4.750000		1.140000		6.750000	16000.000000	1		2.750000	1.400000
VLA_WF			-6.000000	4.500000		1.900000		12.250000	16000.000000	2	0.950000	1.850000	0.800000
TED_DividedFocus	0.400000	0.300000	-9.000000	5.500000		2.750000		4.000000	16000.000000	1	0.800000	3.500000	
JAK_Screenwriter	0.250000	0.700000		4.000000				8.000000	16000.000000	1	0.750000	5.000000	3.000000
TOR_ColdShoulder		0.300000	-5.000000	3.750000		2.880000	50.000000	5.500000	16000.000000	2		2.500000	
DAD_FirstImpression		0.320000		4.300000	-0.500000	1.200000		6.750000	16000.000000	1		2.550000	1.400000
