row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	damage_scale	damageradius_value	firerate_value	impact_force_value	part_value	projectilespershot_value	recoil_scale	spread_value	statuschance_scale	statusdamage_scale	sway_scale
VLA_AR_Bubbles		0.350000	-4.000000	3.100000	2.250000	50.000000	5.600000	16000.000000	1	2.000000		5.000000			1.200000
MAL_SMG_Songbird	0.550000	0.250000	-11.000000	3.000000	0.650000	35.000000	8.000000	12500.000000	2	5.000000	0.650000	6.000000		1.500000	0.700000
BOR_SR_Tankbuster		0.600000		2.000000	10.000000		2.500000		1			1.000000			
TOR_SG_Arctic	1.000000	1.500000		6.000000	6.600000	300.000000	3.600000	7500.000000	2		0.350000	5.000000			0.500000
ORD_PS_Sunspot		0.650000	-6.000000	2.000000	1.850000		8.000000	12500.000000	1		1.200000	2.100000			
DAD_AR_Mercredi		0.320000		4.300000	3.000000		7.100000	16000.000000	1			2.550000			1.400000
TED_SG_Eigenburst	0.750000	1.000000		5.000000	2.500000		3.000000	12500.000000	1	3.000000	0.200000	3.000000			
MAL_SR_Conflux	0.800000	0.500000		5.000000	4.000000	20.000000	2.000000		1			2.000000	2.000000	1.500000	0.500000
TOR_PS_Handcannon	0.600000	3.000000	-12.000000	5.000000	7.750000	25.000000	1.800000	12500.000000	1		2.000000	2.000000			
TOR_AR_Fleabag		0.300000	-5.000000	3.750000	3.300000	50.000000	5.500000	16000.000000	2			2.500000			
TED_AR_LaserDisc	0.400000	0.300000	-9.000000	4.500000	6.500000	50.000000	1.500000	16000.000000	1		0.800000	3.000000			
JAK_SG_Doeshot	0.750000	1.000000		5.000000	2.750000		4.000000	12500.000000	1	2.000000	0.500000	3.000000			
VLA_SM_Mercury				4.750000	3.500000		4.300000	12500.000000	2		0.900000	3.800000			1.200000
ORD_PS_Roulette		0.400000	-6.500000	4.000000	2.400000		5.000000	12500.000000	2		0.600000	1.500000			0.600000
BOR_SG_Demo	0.700000	0.700000	-7.000000	4.000000	8.250000	400.000000	1.250000	5000.000000	2		1.200000	5.500000			
JAK_PS_Shalashaska	0.450000	0.500000	-10.000000	3.000000	5.100000		7.500000	12500.000000	2		0.500000	1.500000			
