row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	damage_scale	damageradius_value	firerate_value	impact_force_value	part_value	projectilespershot_value	recoil_scale	spread_value	statuschance_scale	statusdamage_scale	sway_scale
MAL_SG_Reminisce	1.250000	0.800000	-4.000000	3.500000	2.100000	150.000000	4.000000	30000.000000	1			4.000000		1.500000	
BOR_SG_CrazedEarl		0.500000	-6.000000	4.000000	2.400000	10.000000	4.500000	500.000000	1	2.000000		7.000000			
DAD_SMG_Follower				4.500000	2.900000	5.000000	8.250000	12500.000000	1			3.750000			
VLA_SR_Hemorrhage	0.350000	1.000000		5.000000	5.600000		3.000000		1			1.750000			
TOR_PS_ScootShoot	0.600000	1.000000		3.000000	3.600000	25.000000	2.600000	12500.000000	1			3.000000			
DAD_PS_SoulSurvivor	0.450000	0.100000	-6.000000	4.000000	1.600000		12.000000	12500.000000	2		0.750000	2.500000			
ORD_AR_Crowsource		0.550000	-6.000000	4.000000	2.650000		7.000000	16000.000000	2			1.100000			
VLA_AR_Lasercutter	0.400000	0.300000	-9.000000	5.500000	4.300000		2.000000	16000.000000	1	3.000000	0.800000	3.500000			
JAK_SR_fearstalker	0.600000	1.000000	-7.500000	5.000000	10.000000		1.600000		2			0.950000			
BOR_SM_Falke	0.250000		-6.000000	4.500000	1.350000	25.000000	6.750000	12500.000000	1	3.000000		4.000000	2.000000	1.500000	
ORD_PS_Sunspot		0.650000	-6.000000	2.000000	2.500000		8.000000	12500.000000	1		1.200000	2.100000			
TOR_SG_Unstable_Kor	0.900000	0.900000		5.000000	3.200000	100.000000	1.500000	15000.000000	1	4.000000		6.000000			
MAL_SM_FlashCyclone	0.550000	0.250000	-11.000000	3.000000	2.590000	35.000000	8.000000	12500.000000	1		0.650000	6.000000	1.500000	1.500000	0.700000
