row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	damage_scale	damageradius_value	firerate_value	impact_force_value	part_value	projectilespershot_value	recoil_scale	spread_value	statuschance_scale	statusdamage_scale	sway_scale
Hot_Mod	0.400000	0.300000	-8.500000	4.250000	2.585000		3.650000	16000.000000	2			2.550000			
TradingUp_1				3.750000	2.850000		7.200000					3.500000			
TradingUp_2				3.750000	9.000000		2.600000					3.500000			
TED_SG_Fourier	0.750000	1.000000		5.000000	4.000000		3.000000	12500.000000	1	2.000000	0.200000	3.000000			
MAL_SM_Accretion	0.550000	0.250000	-11.000000	3.000000	5.000000	35.000000	5.000000	12500.000000	2		0.650000	6.000000		1.500000	0.700000
BOR_SG_Relay	0.700000	0.700000	-7.000000	4.000000	20.000000	75.000000	3.000000	5000.000000	2		1.200000	5.500000			
BOR_SR_Devourer		0.150000		1.200000	10.000000		2.500000				0.500000	1.200000			0.600000
ORD_PS_Patience		0.650000	-6.000000	2.000000	2.500000		8.000000	12500.000000	1		1.200000	2.100000			
MAL_SG_Assembler	1.250000	0.800000	-4.000000	3.500000	2.100000	150.000000	2.000000	30000.000000	1	8.000000		4.000000	2.000000		
DAD_SM_HandFrag				2.500000	2.900000	5.000000	12.000000	12500.000000	1			2.500000			
JAK_PS_Infection	0.450000	0.800000	-10.000000	4.000000	3.500000		7.500000	12500.000000	2			1.450000			
ORD_AR_Avarice		0.550000	-6.000000	4.000000	1.750000		7.000000	16000.000000	2			1.100000			
JAK_SG_HippoGun	0.750000	1.000000		5.000000			4.000000	12500.000000	1	6.000000	0.500000	3.000000			
ORD_SR_Petanque	0.400000	2.000000	-12.000000	5.000000	6.000000	25.000000	3.000000	12500.000000	1		2.000000	2.000000			
TOR_AR_Ripple		0.300000	-5.000000	3.750000	1.700000	50.000000	5.500000	16000.000000	2	2.000000		3.500000	1.150000		
VLA_SR_Exhibition		0.250000		3.500000	6.000000	300.000000	12.000000		2		0.250000	0.900000			0.250000
TED_PS_RelievingGuard				3.750000	3.300000		7.200000					3.500000			
TOR_PS_Sledge	0.600000	1.000000		5.000000	2.500000	135.000000	1.500000	12500.000000	2	5.000000		5.000000			
DAD_AR_Sharden		0.300000		4.300000	3.000000	30.000000	4.750000	16000.000000	1			4.000000			1.400000
