row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	damage_scale	damageradius_value	firerate_value	impact_force_value	part_value	recoil_scale	spread_value	sway_scale
ORD_Bully		0.750000	-6.500000	5.000000	3.000000		7.000000	50000.000000	2	0.250000	1.250000	0.500000
TOR_Roach	0.600000	1.000000		3.000000	3.000000	25.000000	2.200000	12500.000000	1		3.000000	
DAD_Zipgun	0.400000	0.225000	-5.000000	3.000000	1.550000		20.000000	12500.000000	1		3.150000	1.150000
JAK_SeventhSense	0.280000	0.600000		3.750000	4.000000		9.000000	12500.000000	1	0.800000	3.500000	
JAK_KingsGambit	0.450000	0.800000	-10.000000	5.500000	4.800000		7.500000	12500.000000	2		2.750000	
ORD_NoisyCricket		0.500000		4.000000	10.000000	400.000000	3.000000				2.000000	
TOR_QueensRest	0.600000	1.500000		3.500000	5.000000	135.000000	2.625000	12500.000000	2		1.800000	
ORD_RocketReload		1.000000	-6.500000	7.000000	2.750000		8.000000	12500.000000	2		1.500000	
JAK_PhantomFlame	0.280000	2.000000	-4.000000	6.000000	5.000000		9.000000	12500.000000	1	0.800000	5.000000	
TED_Sideshow	0.350000	0.350000	-6.500000	7.000000	1.280000		3.000000	12500.000000	1		1.000000	
TED_BIRD	0.400000	0.300000	-8.250000	3.750000	2.350000		4.800000	12500.000000	2		4.500000	
DAD_rangefinder	0.450000	0.175000	-6.000000	3.000000	1.820000	50.000000	12.000000	12500.000000	2	1.500000	1.800000	
TED_ATLien	0.400000	0.300000	-8.250000	3.750000	2.350000		8.000000	12500.000000	2		4.500000	
TED_RubysGrasp				3.750000	2.600000		7.200000				3.500000	
JAK_Quickdraw	0.450000	0.800000	-10.000000	4.000000	4.200000		7.500000	12500.000000	2		4.000000	
