row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	damage_scale	damageradius_value	firerate_value	impact_force_value	part_value	projectilespershot_value	recoil_scale	spread_value	statusdamage_scale	sway_scale
MAL_Kaleidosplode	1.250000	0.800000	-4.000000	3.500000	2.100000	200.000000	1.000000	30000.000000	1			4.000000	1.500000	
JAK_Slugger		0.750000		4.000000	9.000000		1.000000	10000.000000	1		0.700000	3.000000		
TOR_Linebacker	0.900000	0.900000		5.000000	1.400000	100.000000	1.000000	15000.000000	1	4.000000		6.000000		
JAK_BonnieClyde	0.750000	1.300000		4.500000	2.200000		1.200000	5000.000000	1	6.000000		4.500000		
TED_Anarchy	0.750000	1.000000		5.000000	0.600000		1.600000	3750.000000	1	12.000000		7.000000		
DAD_HeartGun		0.600000		4.250000	0.500000		2.000000	7500.000000	2	14.000000		6.500000		
BOR_GoldenGod		0.500000	-6.000000	4.000000	0.675000	50.000000	4.500000	7500.000000	1	4.000000		7.000000		
BOR_Convergence	0.700000	0.700000	-7.000000	4.000000	0.700000	75.000000	3.000000	5000.000000	2	6.000000	1.200000	5.500000		
DAD_Bod		0.750000		4.000000	0.475000		4.200000	5000.000000	1	5.000000	0.250000	6.000000		1.200000
MAL_Kickballer	1.250000	0.800000	-4.000000	3.500000	9.200000	150.000000	0.800000	30000.000000	1			4.000000	1.500000	
JAK_RainbowVomit	0.750000	1.300000		4.500000	1.475000	50.000000	1.500000	5000.000000	1	6.000000		4.500000		
JAK_TKsWave	0.900000	1.700000	-5.000000	5.750000	3.000000		1.300000	9000.000000	2	10.000000	0.850000	8.750000		
TOR_LeadBalloon	1.000000	1.500000		6.000000	2.250000	135.000000	1.800000	7500.000000	2	3.000000		5.000000		
JAK_Hellwalker	0.750000	1.300000		4.500000	2.350000		2.000000	5000.000000	1	10.000000		10.000000		
MAL_Sweet_Embrace	1.250000	0.800000	-4.000000	3.500000	4.500000	150.000000	1.000000	15000.000000	1	4.000000		5.000000	1.500000	
BOR_GoreMaster	0.700000	0.700000	-7.000000	4.000000	0.625000	75.000000	3.000000	5000.000000	2	6.000000	1.200000	5.500000		
TED_CommBD	0.750000	1.000000		5.000000	0.825000		1.250000	3750.000000	1	8.000000	0.200000	7.000000		
