row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	damage_scale	damageradius_value	firerate_value	impact_force_value	part_value	projectilespershot_value	recoil_scale	spread_value	statuschance_scale	statusdamage_scale	sway_scale
MAL_Katagawa		0.750000	-6.000000	5.000000	2.590000		1.750000	16000.000000	2		0.700000	1.250000			0.250000
DAD_Conglomerate		0.350000	-7.000000	4.000000	1.600000	20.000000	13.000000	12500.000000	2		0.800000	3.000000			0.500000
DAD_Luty			-10.000000	6.500000			22.000000	12500.000000	1		0.800000	2.800000			0.800000
MAL_OhmIGot	0.600000		-11.000000	3.500000	2.070000		7.250000	8000.000000	1		0.000000	1.000000		1.500000	0.350000
VLA_Onslaught	0.250000	0.250000	-7.000000	6.000000	1.400000		16.000000	12500.000000	1		0.800000	3.000000			1.200000
MAL_PlasmaCoil	0.550000	0.150000	-11.000000	3.000000	2.415000	35.000000	15.000000	12500.000000	2		0.650000	2.000000		1.500000	0.700000
BOR_Hellfire	0.250000		-6.000000	4.500000	2.200000	25.000000	6.750000	12500.000000	1			4.000000	2.000000	1.500000	
BOR_Prince	0.250000		-6.000000	5.000000	2.350000		4.500000	12500.000000	2			3.000000	1.500000		
DAD_BloodStarved				4.500000	1.700000		10.000000	12500.000000	1	2.000000		3.750000			
VLA_BeeGun				4.750000	1.100000		11.000000	12500.000000	2		0.900000	3.800000			1.200000
VLA_Kaoson		0.100000		4.500000	0.900000		10.500000	12500.000000	1	2.000000		2.250000			
MAL_Firework	0.550000	0.150000	-11.000000	2.750000	2.300000	35.000000	5.250000	12500.000000	2		0.950000	1.750000		1.500000	1.100000
