row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	critdamage_add	damage_scale	damageradius_value	firerate_value	impact_force_value	part_value	projectilespershot_value	recoil_scale	spread_value	statuschance_scale	statusdamage_scale	sway_scale
MAL_Katagawa	0.600000	0.300000		4.000000		3.250000	20.000000	1.500000		2		0.600000	1.750000		1.500000	0.900000
JAK_Boomslang	0.700000	0.500000	-7.500000	6.000000		13.000000	180.000000	0.800000		2		0.700000	0.500000			0.700000
ORD_Fisheye	0.750000	0.050000	-6.000000	4.000000	0.400000	10.500000		1.150000		1		0.100000	3.000000			0.100000
BOR_Vamoose				6.000000		7.500000		9.000000		2		0.600000	1.200000			0.600000
VLA_Finnty		0.250000		3.500000		2.000000		13.000000		2		0.250000	0.900000			0.250000
MAL_ComplexRoot	0.800000	1.000000	-4.000000	5.000000		5.000000	20.000000	1.200000		1			2.000000		1.500000	0.500000
ORD_Symmetry	0.900000	1.650000	-6.000000	7.000000		6.500000		1.250000		2		1.200000	1.250000			
VLA_StopGap	0.350000	1.000000		5.000000		2.700000		4.400000		1			1.750000			
BOR_Stray		0.600000		4.000000		3.000000		2.250000		1	3.000000		1.500000			
JAK_Truck	0.800000	5.000000	-3.500000	7.000000		15.000000		1.000000	30000.000000	1		1.750000	0.750000			0.850000
MAL_Asher	0.800000	0.650000	-6.000000	5.000000		5.250000	20.000000	6.600000		1		0.750000	1.500000	0.000000	2.000000	0.500000
JAK_Ballista	1.250000	2.300000	-7.500000	10.000000		10.000000		0.800000		2			0.950000			
VLA_CrowdSourced	0.350000	1.000000		5.000000		2.900000		4.000000		1			1.750000			
