row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	damage_scale	damageradius_value	firerate_value	impact_force_value	part_value	recoil_scale	spread_value	sway_scale
DAD_Barrel_01		0.320000		4.300000	1.280000		6.750000	16000.000000	1		2.550000	1.400000
DAD_Barrel_02		0.220000		3.200000	1.500000		5.500000	16000.000000	2		1.800000	
--	0.000000											
JAK_Barrel_01	0.250000	0.700000		6.000000	2.900000		6.500000	16000.000000	1	0.750000	1.800000	
JAK_Barrel_02	0.200000	1.100000	-10.000000	5.000000	3.400000		4.750000	16000.000000	2	1.200000	1.050000	
---	0.000000											
VLA_Barrel_01		0.350000	-4.000000	3.100000	0.975000		11.500000	16000.000000	1		2.400000	1.200000
VLA_Barrel_02		0.275000	-6.000000	3.650000	1.050000		9.915000	16000.000000	2		2.100000	
----	0.000000											
TOR_Barrel_01		0.500000		3.250000	2.600000	135.000000	3.500000	16000.000000	1		2.500000	
TOR_Barrel_02		0.450000		3.750000	3.400000	135.000000	2.500000	16000.000000	2		2.500000	
-----	0.000000											
TED_Barrel_01	0.400000	0.350000	-9.000000	5.200000	2.200000		4.500000	16000.000000	1		3.500000	
TED_Barrel_02	0.400000	0.300000	-8.500000	4.250000	2.585000		3.650000	16000.000000	2		2.550000	
------	0.000000											
ORD_Barrel_01			-6.000000	1.700000	2.500000		5.500000	16000.000000	1	0.800000	1.200000	
ORD_Barrel_02		0.350000	-6.000000	2.000000	2.200000		6.500000	16000.000000	2		1.000000	
