row_name	accuracy_scale	damage_scale	firerate_scale	heatimpulse_value	maxloadedammo_value	recoil_scale	reloadtime_value	spread_scale	sway_scale	thrownreloadtime_value
DAD_Mag_01				0.040000	28.000000		2.100000			
DAD_Mag_02				0.026500	36.000000		2.600000			
DAD_Mag_03		1.300000	0.850000	0.055000	20.000000	1.300000	2.000000		1.150000	
DAD_Mag_04	1.250000	1.100000		0.020000		1.100000	4.300000	1.400000	1.250000	3.000000
DAD_Mag_05	0.900000	1.050000	1.100000	0.030000	44.000000	1.050000	3.000000	0.950000		3.000000
--										
JAK_Mag_01		0.900000		0.055000	14.000000		2.500000			
JAK_Mag_02		0.850000	1.100000	0.045000	18.000000		2.700000			
JAK_Mag_03	1.100000	0.850000	0.800000	0.083000	16.000000		2.600000	1.100000		
JAK_Mag_04		0.837500		0.060000		1.200000	4.000000	1.400000		3.000000
JAK_Mag_05		0.600000	1.250000	0.062500	24.000000		2.000000			3.000000
---										
VLA_Mag_01				0.030000	40.000000		2.900000			
VLA_Mag_02				0.020000	50.000000	1.050000	3.400000			
VLA_Mag_03		1.300000	0.800000	0.038000	30.000000	1.200000	2.800000	0.900000		
VLA_Mag_04		0.850000		0.016500		1.300000	5.500000	1.400000	1.200000	3.000000
VLA_Mag_05		0.950000	1.250000	0.025000	60.000000		3.700000			3.000000
----										
TOR_Mag_01				0.125000	14.000000		2.000000			
TOR_Mag_02				0.070000	20.000000		2.800000			
TOR_Mag_04		1.050000		0.040000		1.200000	4.000000	1.400000		3.000000
TOR_Mag_05		0.950000	1.200000	0.060000	24.000000		2.400000			3.000000
-----										
TED_Mag_01				0.030000	22.000000		2.200000			
TED_Mag_02				0.020000	26.000000		2.600000			
TED_Mag_03		1.340000	0.900000	0.050000	18.000000		2.800000			
TED_Mag_04		1.050000		0.032500		1.200000	3.600000	1.400000		
TED_Mag_05		1.010000	1.200000	0.020000	32.000000		2.800000			
------										
ORD_Mag_01				0.150000	18.000000		1.900000			
ORD_Mag_02		0.950000		0.120000	24.000000		2.300000			
ORD_Mag_03		1.350000	0.825000	0.175000	15.000000		2.100000			
ORD_Mag_04		1.030000		0.030000		1.200000	3.700000	1.400000		3.000000
ORD_Mag_05		0.975000	1.200000	0.135000	30.000000		2.300000			3.000000
