row_name	accdelay_value	accimpulse_value	accuracy_value	ammo_value	ammodelay_value	ammoregen_value	damage_value	damageradius_value	firerate_value	heatimpulse_value	impactforce_value	modereturn_scale	modeswitch_scale	projectilespershot_value	recoil_scale	spread_value	sway_scale
DAD_Grenade	1.000000	1.000000	3.000000	3.000000		3.000000	110.000000	400.000000	1.500000	0.250000	60000.000000	1.200000	1.200000			1.000000	
DAD_Shotgun	1.000000	0.750000	3.000000	6.000000		6.000000	24.000000		1.750000	0.150000	3750.000000			8.000000		8.000000	
DAD_Microrockets		0.600000	5.000000	15.000000	24.000000	15.000000	24.000000	200.000000	7.500000	0.050000	30000.000000	1.200000	1.200000			5.000000	1.350000
DAD_Atlas		1.000000	2.000000		8.000000				4.000000	0.200000		1.300000	1.400000	5.000000		4.000000	
DAD_Atlas_Ball		1.500000	2.000000		10.000000			350.000000	4.000000	0.200000	10000.000000	1.300000	1.400000			2.000000	
DAD_AmmoSwitcher												1.125000	1.125000				
DAD_MalElement																	
--																	
VLA_Grenade		1.000000	6.000000	3.000000		3.000000	110.000000	300.000000	1.250000	0.250000	60000.000000		1.100000			4.000000	
VLA_Shotgun		0.350000	4.000000	8.000000	14.000000	4.000000	12.000000		4.500000	0.100000	5000.000000	0.875000		6.000000		6.000000	
VLA_Bipod		0.250000	0.750000									1.125000	1.275000		0.250000	0.750000	0.250000
VLA_SecondBarrel_Scale			2.000000						1.500000			1.200000	1.200000			2.000000	1.200000
VLA_Atlas		1.000000	2.000000		8.000000				4.000000	0.200000		1.500000	1.500000	5.000000		4.000000	
VLA_Atlas_Ball		1.500000	2.000000		10.000000			350.000000	4.000000	0.200000	10000.000000	1.500000	1.500000			2.000000	
VLA_AmmoSwitcher												1.125000	1.125000				
VLA_MalElement																	
---																	
TOR_Grenade	1.000000	1.000000	3.000000		30.000000		110.000000	250.000000	1.500000	0.500000	60000.000000	1.250000	1.250000			1.000000	
TOR_Shotgun	1.000000	0.500000	3.000000	3.000000		3.000000	32.000000	150.000000	1.250000	0.250000	5000.000000	1.200000	1.200000	6.000000		3.250000	
TOR_Airstrike			3.000000		60.000000		400.000000	600.000000	1.000000	0.200000	100000.000000						
TOR_Atlas		1.000000	2.000000		8.000000				4.000000	0.200000			1.250000	5.000000		4.000000	
TOR_Atlas_Ball		1.500000	2.000000		10.000000			350.000000	4.000000	0.200000	10000.000000		1.250000			2.000000	
TOR_AmmoSwitcher												1.500000	1.500000				
TOR_MalElement													1.250000				
----																	
JAK_Flintlock		0.500000	4.000000		15.000000		150.000000	10.000000	1.000000	0.300000	60000.000000	1.250000	1.250000	2.000000		2.500000	
JAK_Crank	0.250000	0.350000	6.000000	24.000000		24.000000	22.000000		7.000000	0.040000		0.700000	0.700000		0.400000	3.000000	2.000000
JAK_Shotgun			3.000000	5.000000	15.000000	5.000000	18.000000		1.650000	0.150000	3333.333300	1.250000	1.250000	9.000000		7.000000	
JAK_Atlas		1.000000	2.000000		8.000000				4.000000	0.200000		1.500000	1.500000	4.000000		4.000000	
JAK_Atlas_Ball		1.500000	2.000000		10.000000			350.000000	4.000000	0.200000	10000.000000	1.500000	1.500000			2.000000	
JAK_AmmoSwitcher												1.125000	1.125000				
-----																	
TED_BuffDrone		1.000000	5.000000		30.000000		10.000000	25.000000	2.000000	0.200000		1.500000	1.500000			4.000000	
TED_ComboOrb		0.700000	3.000000		24.000000		150.000000	500.000000	2.000000	0.300000	10000.000000	1.500000	1.500000			7.000000	
TED_Shotgun		0.650000	3.500000	4.000000		4.000000	20.000000		2.250000	0.200000	5000.000000	1.500000	1.500000	6.000000		7.000000	
TED_Atlas			2.000000						2.000000	0.200000		1.500000	1.500000	4.000000		4.000000	
TED_Atlas_Ball			2.000000					350.000000	2.000000	0.200000	10000.000000	1.500000	1.500000			4.000000	
TED_AmmoSwitcher												1.125000	1.125000				
TED_MalElement																	
------																	
ORD_Seeker		0.700000	4.000000	4.000000	24.000000		100.000000		2.000000	0.200000	30000.000000		1.250000			4.000000	
ORD_DeathSphere		1.000000	3.000000		30.000000		55.000000	50.000000	2.000000	0.200000	5000.000000		1.250000			3.000000	
ORD_KillDrone		1.000000	2.000000		40.000000		26.000000		2.000000	0.200000			1.250000			3.000000	
ORD_Atlas			2.000000						2.000000	0.200000				5.000000		4.000000	
ORD_Atlas_Ball			2.000000					350.000000	2.000000	0.200000	10000.000000					3.000000	
ORD_AmmoSwitcher																	
