row_name	chargetime	loadedshotadditionalprojectile	loadedshotdamageradiusscale	loadedshotdamagescale	loadedshotheatimpulsescale	loadedshotimpulsescale	loadedshotrecoilscale	loadedshotspreadscale	maxloadedshots
PS_Barrel_01	0.145000	1.000000	0.250000	-0.100000	1.000000	0.800000	0.500000	0.150000	5.000000
PS_Barrel_02	0.195000	1.000000	0.250000	-0.085000	1.000000	1.000000	0.500000		5.000000
AR_Barrel_01	0.155000	1.000000	0.250000	-0.100000	0.000000	0.000000	-0.125000	0.150000	5.000000
AR_Barrel_02	0.185000	1.000000	0.250000	-0.085000	0.000000	0.000000	-0.100000		5.000000
SR_Barrel_01	0.205000		0.250000	0.500000	1.000000	0.480000	0.150000	0.000000	5.000000
SR_Barrel_02	0.215000		0.250000	0.575000	1.000000	0.480000	0.200000	0.000000	5.000000
AR_Underbarrel_01	0.500000	1.000000		0.000000			-0.250000	0.000000	3.000000
PS_UB_01_EnergyBurst	2.000000		0.200000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
PS_UB_02_GravWell			0.200000					0.000000	1.000000
PS_UB_03_ChargedRockets	0.300000	1.000000		0.000000	0.000000	0.000000	0.000000	0.000000	5.000000
SR_UB_03_Railgun				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
