row_name	accdelay_value	accimpulse_value	accregen_value	accuracy_value	damage_scale	damageradius_value	firerate_value	impact_force_value	part_value	recoil_scale	spread_value	sway_scale
JAK_Barrel_01	0.280000	0.600000		2.450000	4.000000		9.000000	12500.000000	1	0.800000	3.200000	
JAK_Barrel_02	0.450000	0.800000	-10.000000	4.000000	4.200000		7.500000	12500.000000	2		1.450000	
--	0.000000	0.000000	0.000000									
ORD_Barrel_01		0.650000	-6.000000	2.000000	1.850000		8.000000	12500.000000	1	1.200000	2.100000	
ORD_Barrel_02		0.800000	-6.500000	2.500000	2.000000		6.500000	12500.000000	2		1.700000	
---	0.000000	0.000000	0.000000									
TED_Barrel_01	0.350000	0.350000	-8.500000	3.200000	1.980000		6.000000	12500.000000	1		6.200000	
TED_Barrel_02	0.400000	0.300000	-8.250000	2.450000	2.340000		4.800000	12500.000000	2		4.200000	
----	0.000000	0.000000	0.000000									
DAD_Barrel_01	0.400000	0.225000	-5.000000	2.000000	1.550000		18.000000	12500.000000	1		3.150000	1.150000
DAD_Barrel_02	0.450000	0.175000	-6.000000	2.000000	1.600000		14.000000	12500.000000	2	1.500000	1.800000	
-----	0.000000	0.000000	0.000000									
TOR_Barrel_01	0.600000	1.250000		3.000000	4.000000	135.000000	2.500000	12500.000000	1		2.500000	
TOR_Barrel_02	0.600000	1.500000		2.500000	5.000000	135.000000	1.750000	12500.000000	2		1.800000	
