row_name	accuracy_scale	damage_scale	firerate_scale	heatimpulse_value	maxloadedammo_value	recoil_scale	reloadtime_value	spread_scale	sway_scale	thrownreloadcompletepercent	thrownreloadtime_value
JAK_Mag_01				0.100000	4.000000		2.350000			0.325000	
JAK_Mag_02		0.700000		0.080000	6.000000		2.250000			0.325000	
JAK_Mag_03	1.100000	0.825000	0.800000	0.060000	8.000000	1.150000	2.850000	1.100000		0.325000	
JAK_Mag_04	1.200000	0.675000		0.200000		1.100000	3.200000	1.400000	1.100000	0.675000	3.000000
JAK_Mag_05		0.875000	0.800000	0.080000	8.000000	0.900000	2.250000			0.500000	
--											
ORD_Mag_01				0.085000	15.000000		1.900000			0.325000	
ORD_Mag_02		0.987500		0.072500	18.000000		2.800000			0.325000	
ORD_Mag_03	0.900000	1.250000	0.825000	0.100000	12.000000	1.300000	2.000000	0.900000		0.325000	
ORD_Mag_04		0.937500		0.050000		1.300000	2.900000	1.400000	1.150000	0.675000	3.000000
ORD_Mag_05	0.750000		1.225000	0.080000	24.000000	0.800000	2.300000			0.500000	3.000000
---											
TED_Mag_01				0.060000	15.000000		1.400000				
TED_Mag_02				0.045000	20.000000		1.800000				
TED_Mag_03		1.300000	0.800000	0.070000	13.000000	1.200000	1.600000	0.900000			
TED_Mag_04		1.100000		0.037500		1.200000	3.000000	1.400000	1.200000		3.000000
TED_Mag_05		1.100000	1.300000	0.055000	26.000000		2.500000				3.000000
----											
DAD_Mag_01		1.075000		0.065000	16.000000		2.000000			0.282500	
DAD_Mag_02		1.125000		0.045000	20.000000		2.700000			0.282500	
DAD_Mag_03	0.900000	1.600000	0.825000	0.055000	12.000000	1.300000	2.400000	0.800000		0.282500	
DAD_Mag_04		1.095000		0.040000		1.400000	3.500000	1.400000	1.150000	0.675000	3.000000
DAD_Mag_05_B01		0.937500	0.425000	0.038500	28.000000		1.750000			0.500000	3.000000
DAD_Mag_05_B02		0.937500	0.525000	0.038500	28.000000		1.750000			0.500000	3.000000
-----											
TOR_Mag_01				0.165000	6.000000		1.750000				
TOR_Mag_02				0.120000	8.000000		2.250000				
TOR_Mag_04	0.900000	1.066000		0.125000			3.500000	1.400000			3.000000
TOR_Mag_05	1.200000	1.080000	1.250000	0.038000	10.000000	1.100000	2.750000	1.200000	1.200000		3.000000
